"Gemeente";"CBS";"COROP plusregio's";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Noord-Drenthe";"189373"
"Aalburg";"0738";"Midden-Noord-Brabant";"466633"
"Aalsmeer";"0358";"Haarlemmermeer en omgeving";"203978"
"Aalten";"0197";"Achterhoek";"398793"
"Achtkarspelen";"0059";"Noord-Friesland";"324135"
"Alblasserdam";"0482";"Overig Zuidoost-Zuid-Holland";"162058"
"Albrandswaard";"0613";"Rijnmond";"1231205"
"Alkmaar";"0361";"Alkmaar en omgeving";"240522"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Almere";"196936"
"Alphen aan den Rijn";"0484";"Oost-Zuid-Holland";"318653"
"Alphen-Chaam";"1723";"Midden-Noord-Brabant";"466633"
"Ameland";"0060";"Noord-Friesland";"324135"
"Amersfoort";"0307";"Stadsgewest Amersfoort";"293307"
"Amstelveen";"0362";"Overig Agglomeratie Amsterdam";"147093"
"Amsterdam";"0363";"Amsterdam";"821927"
"Apeldoorn";"0200";"Veluwe";"667853"
"Appingedam";"0003";"Delfzijl en omgeving";"47584"
"Arnhem";"0202";"Arnhem/Nijmegen";"722229"
"Assen";"0106";"Noord-Drenthe";"189373"
"Asten";"0743";"Zuidoost-Noord-Brabant";"752485"
"Baarle-Nassau";"0744";"Midden-Noord-Brabant";"466633"
"Baarn";"0308";"Stadsgewest Amersfoort";"293307"
"Barendrecht";"0489";"Rijnmond";"1231205"
"Barneveld";"0203";"Veluwe";"667853"
"Bedum";"0005";"Overig Groningen";"387520"
"Beek";"0888";"Zuid-Limburg";"602040"
"Beemster";"0370";"Edam-Volendam en omgeving";"141053"
"Beesel";"0889";"Noord-Limburg";"280548"
"Bellingwedde";"0007";"Oost-Groningen";"149000"
"Berg en Dal";"1945";"Arnhem/Nijmegen";"722229"
"Bergeijk";"1724";"Zuidoost-Noord-Brabant";"752485"
"Bergen (L)";"0893";"Noord-Limburg";"280548"
"Bergen (NH)";"0373";"Alkmaar en omgeving";"240522"
"Bergen op Zoom";"0748";"West-Noord-Brabant";"624496"
"Berkelland";"1859";"Achterhoek";"398793"
"Bernheze";"1721";"Overig Noordoost-Noord-Brabant";"330051"
"Best";"0753";"Zuidoost-Noord-Brabant";"752485"
"Beuningen";"0209";"Arnhem/Nijmegen";"722229"
"Beverwijk";"0375";"IJmond";"194115"
"Binnenmaas";"0585";"Overig Groot-Rijnmond";"227775"
"Bladel";"1728";"Zuidoost-Noord-Brabant";"752485"
"Blaricum";"0376";"Het Gooi en Vechtstreek";"246540"
"Bloemendaal";"0377";"Agglomeratie Haarlem";"227658"
"Bodegraven-Reeuwijk";"1901";"Oost-Zuid-Holland";"318653"
"Boekel";"0755";"Overig Noordoost-Noord-Brabant";"330051"
"Borger-Odoorn";"1681";"Zuidoost-Drenthe";"168838"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Overig Zeeland";"275038"
"Boxmeer";"0756";"Overig Noordoost-Noord-Brabant";"330051"
"Boxtel";"0757";"Stadsgewest 's-Hertogenbosch";"315660"
"Breda";"0758";"West-Noord-Brabant";"624496"
"Brielle";"0501";"Rijnmond";"1231205"
"Bronckhorst";"1876";"Achterhoek";"398793"
"Brummen";"0213";"Achterhoek";"398793"
"Brunssum";"0899";"Zuid-Limburg";"602040"
"Bunnik";"0312";"Stadsgewest Utrecht";"680142"
"Bunschoten";"0313";"Stadsgewest Amersfoort";"293307"
"Buren";"0214";"Zuidwest-Gelderland";"237518"
"Capelle aan den IJssel";"0502";"Rijnmond";"1231205"
"Castricum";"0383";"IJmond";"194115"
"Coevorden";"0109";"Zuidoost-Drenthe";"168838"
"Cranendonck";"1706";"Zuidoost-Noord-Brabant";"752485"
"Cromstrijen";"0611";"Overig Groot-Rijnmond";"227775"
"Cuijk";"1684";"Overig Noordoost-Noord-Brabant";"330051"
"Culemborg";"0216";"Zuidwest-Gelderland";"237518"
"Dalfsen";"0148";"Noord-Overijssel";"361705"
"Dantumadiel";"1891";"Noord-Friesland";"324135"
"De Bilt";"0310";"Stadsgewest Utrecht";"680142"
"De Fryske Marren";"1940";"Zuidwest-Friesland";"135402"
"De Marne";"1663";"Overig Groningen";"387520"
"De Ronde Venen";"0736";"Utrecht-West";"130930"
"De Wolden";"1690";"Zuidwest-Drenthe";"130400"
"Delft";"0503";"Delft en Westland";"224084"
"Delfzijl";"0010";"Delfzijl en omgeving";"47584"
"Den Helder";"0400";"Kop van Noord-Holland";"372105"
"Deurne";"0762";"Zuidoost-Noord-Brabant";"752485"
"Deventer";"0150";"Zuidwest-Overijssel";"152945"
"Diemen";"0384";"Overig Agglomeratie Amsterdam";"147093"
"Dinkelland";"1774";"Twente";"626009"
"Doesburg";"0221";"Arnhem/Nijmegen";"722229"
"Doetinchem";"0222";"Achterhoek";"398793"
"Dongen";"0766";"Midden-Noord-Brabant";"466633"
"Dongeradeel";"0058";"Noord-Friesland";"324135"
"Dordrecht";"0505";"Drechtsteden";"238293"
"Drechterland";"0498";"Kop van Noord-Holland";"372105"
"Drimmelen";"1719";"West-Noord-Brabant";"624496"
"Dronten";"0303";"Flevoland-Midden";"138377"
"Druten";"0225";"Arnhem/Nijmegen";"722229"
"Duiven";"0226";"Arnhem/Nijmegen";"722229"
"Echt-Susteren";"1711";"Midden-Limburg";"235466"
"Edam-Volendam";"0385";"Edam-Volendam en omgeving";"141053"
"Ede";"0228";"Veluwe";"667853"
"Eemnes";"0317";"Stadsgewest Amersfoort";"293307"
"Eemsmond";"1651";"Overig Groningen";"387520"
"Eersel";"0770";"Zuidoost-Noord-Brabant";"752485"
"Eijsden-Margraten";"1903";"Zuid-Limburg";"602040"
"Eindhoven";"0772";"Zuidoost-Noord-Brabant";"752485"
"Elburg";"0230";"Veluwe";"667853"
"Emmen";"0114";"Zuidoost-Drenthe";"168838"
"Enkhuizen";"0388";"Kop van Noord-Holland";"372105"
"Enschede";"0153";"Twente";"626009"
"Epe";"0232";"Veluwe";"667853"
"Ermelo";"0233";"Veluwe";"667853"
"Etten-Leur";"0777";"West-Noord-Brabant";"624496"
"Ferwerderadiel";"1722";"Noord-Friesland";"324135"
"Franekeradeel";"0070";"Noord-Friesland";"324135"
"Geertruidenberg";"0779";"West-Noord-Brabant";"624496"
"Geldermalsen";"0236";"Zuidwest-Gelderland";"237518"
"Geldrop-Mierlo";"1771";"Zuidoost-Noord-Brabant";"752485"
"Gemert-Bakel";"1652";"Zuidoost-Noord-Brabant";"752485"
"Gennep";"0907";"Noord-Limburg";"280548"
"Giessenlanden";"0689";"Overig Zuidoost-Zuid-Holland";"162058"
"Gilze en Rijen";"0784";"Midden-Noord-Brabant";"466633"
"Goeree-Overflakkee";"1924";"Overig Groot-Rijnmond";"227775"
"Goes";"0664";"Overig Zeeland";"275038"
"Goirle";"0785";"Midden-Noord-Brabant";"466633"
"Gooise Meren";"1942";"Het Gooi en Vechtstreek";"246540"
"Gorinchem";"0512";"Overig Zuidoost-Zuid-Holland";"162058"
"Gouda";"0513";"Oost-Zuid-Holland";"318653"
"Grave";"0786";"Overig Noordoost-Noord-Brabant";"330051"
"'s-Gravenhage";"0518";"Aggl. 's-Gravenhage excl. Zoetermeer";"713800"
"Groningen";"0014";"Overig Groningen";"387520"
"Grootegast";"0015";"Overig Groningen";"387520"
"Gulpen-Wittem";"1729";"Zuid-Limburg";"602040"
"Haaksbergen";"0158";"Twente";"626009"
"Haaren";"0788";"Stadsgewest 's-Hertogenbosch";"315660"
"Haarlem";"0392";"Agglomeratie Haarlem";"227658"
"Haarlemmerliede en Spaarnwoude";"0393";"Agglomeratie Haarlem";"227658"
"Haarlemmermeer";"0394";"Haarlemmermeer en omgeving";"203978"
"Halderberge";"1655";"West-Noord-Brabant";"624496"
"Hardenberg";"0160";"Noord-Overijssel";"361705"
"Harderwijk";"0243";"Veluwe";"667853"
"Hardinxveld-Giessendam";"0523";"Drechtsteden";"238293"
"Haren";"0017";"Overig Groningen";"387520"
"Harlingen";"0072";"Noord-Friesland";"324135"
"Hattem";"0244";"Veluwe";"667853"
"Heemskerk";"0396";"IJmond";"194115"
"Heemstede";"0397";"Agglomeratie Haarlem";"227658"
"Heerde";"0246";"Veluwe";"667853"
"Heerenveen";"0074";"Zuidoost-Friesland";"186787"
"Heerhugowaard";"0398";"Alkmaar en omgeving";"240522"
"Heerlen";"0917";"Zuid-Limburg";"602040"
"Heeze-Leende";"1658";"Zuidoost-Noord-Brabant";"752485"
"Heiloo";"0399";"Alkmaar en omgeving";"240522"
"Hellendoorn";"0163";"Twente";"626009"
"Hellevoetsluis";"0530";"Rijnmond";"1231205"
"Helmond";"0794";"Zuidoost-Noord-Brabant";"752485"
"Hendrik-Ido-Ambacht";"0531";"Overig Zuidoost-Zuid-Holland";"162058"
"Hengelo (O)";"0164";"Twente";"626009"
"'s-Hertogenbosch";"0796";"Stadsgewest 's-Hertogenbosch";"315660"
"het Bildt";"0063";"Noord-Friesland";"324135"
"Heumen";"0252";"Arnhem/Nijmegen";"722229"
"Heusden";"0797";"Stadsgewest 's-Hertogenbosch";"315660"
"Hillegom";"0534";"Agglomeratie Leiden en Bollenstreek";"415065"
"Hilvarenbeek";"0798";"Midden-Noord-Brabant";"466633"
"Hilversum";"0402";"Het Gooi en Vechtstreek";"246540"
"Hof van Twente";"1735";"Twente";"626009"
"Hollands Kroon";"1911";"Kop van Noord-Holland";"372105"
"Hoogeveen";"0118";"Zuidwest-Drenthe";"130400"
"Hoogezand-Sappemeer";"0018";"Overig Groningen";"387520"
"Hoorn";"0405";"Kop van Noord-Holland";"372105"
"Horst aan de Maas";"1507";"Noord-Limburg";"280548"
"Houten";"0321";"Stadsgewest Utrecht";"680142"
"Huizen";"0406";"Het Gooi en Vechtstreek";"246540"
"Hulst";"0677";"Zeeuwsch-Vlaanderen";"105679"
"IJsselstein";"0353";"Stadsgewest Utrecht";"680142"
"Kaag en Braassem";"1884";"Agglomeratie Leiden en Bollenstreek";"415065"
"Kampen";"0166";"Noord-Overijssel";"361705"
"Kapelle";"0678";"Overig Zeeland";"275038"
"Katwijk";"0537";"Agglomeratie Leiden en Bollenstreek";"415065"
"Kerkrade";"0928";"Zuid-Limburg";"602040"
"Koggenland";"1598";"Kop van Noord-Holland";"372105"
"Kollumerland en Nieuwkruisland";"0079";"Noord-Friesland";"324135"
"Korendijk";"0588";"Overig Groot-Rijnmond";"227775"
"Krimpen aan den IJssel";"0542";"Rijnmond";"1231205"
"Krimpenerwaard";"1931";"Oost-Zuid-Holland";"318653"
"Krimpenerwaard";"1931";"Overig Groot-Rijnmond";"227775"
"Laarbeek";"1659";"Zuidoost-Noord-Brabant";"752485"
"Landerd";"1685";"Overig Noordoost-Noord-Brabant";"330051"
"Landgraaf";"0882";"Zuid-Limburg";"602040"
"Landsmeer";"0415";"Overig Agglomeratie Amsterdam";"147093"
"Langedijk";"0416";"Alkmaar en omgeving";"240522"
"Lansingerland";"1621";"Rijnmond";"1231205"
"Laren";"0417";"Het Gooi en Vechtstreek";"246540"
"Leek";"0022";"Overig Groningen";"387520"
"Leerdam";"0545";"Overig Zuidoost-Zuid-Holland";"162058"
"Leeuwarden";"0080";"Noord-Friesland";"324135"
"Leeuwarderadeel";"0081";"Noord-Friesland";"324135"
"Leiden";"0546";"Agglomeratie Leiden en Bollenstreek";"415065"
"Leiderdorp";"0547";"Agglomeratie Leiden en Bollenstreek";"415065"
"Leidschendam-Voorburg";"1916";"Aggl. 's-Gravenhage excl. Zoetermeer";"713800"
"Lelystad";"0995";"Flevoland-Midden";"138377"
"Leudal";"1640";"Midden-Limburg";"235466"
"Leusden";"0327";"Stadsgewest Amersfoort";"293307"
"Lingewaal";"0733";"Zuidwest-Gelderland";"237518"
"Lingewaard";"1705";"Arnhem/Nijmegen";"722229"
"Lisse";"0553";"Agglomeratie Leiden en Bollenstreek";"415065"
"Littenseradiel";"0140";"Noord-Friesland";"324135"
"Lochem";"0262";"Achterhoek";"398793"
"Loon op Zand";"0809";"Midden-Noord-Brabant";"466633"
"Lopik";"0331";"Utrecht-West";"130930"
"Loppersum";"0024";"Delfzijl en omgeving";"47584"
"Losser";"0168";"Twente";"626009"
"Maasdriel";"0263";"Zuidwest-Gelderland";"237518"
"Maasgouw";"1641";"Midden-Limburg";"235466"
"Maassluis";"0556";"Rijnmond";"1231205"
"Maastricht";"0935";"Zuid-Limburg";"602040"
"Marum";"0025";"Overig Groningen";"387520"
"Medemblik";"0420";"Kop van Noord-Holland";"372105"
"Meerssen";"0938";"Zuid-Limburg";"602040"
"Menameradiel";"1908";"Noord-Friesland";"324135"
"Menterwolde";"1987";"Oost-Groningen";"149000"
"Meppel";"0119";"Zuidwest-Drenthe";"130400"
"Middelburg";"0687";"Overig Zeeland";"275038"
"Midden-Delfland";"1842";"Delft en Westland";"224084"
"Midden-Drenthe";"1731";"Noord-Drenthe";"189373"
"Mill en Sint Hubert";"0815";"Overig Noordoost-Noord-Brabant";"330051"
"Moerdijk";"1709";"West-Noord-Brabant";"624496"
"Molenwaard";"1927";"Overig Zuidoost-Zuid-Holland";"162058"
"Montferland";"1955";"Achterhoek";"398793"
"Montfoort";"0335";"Utrecht-West";"130930"
"Mook en Middelaar";"0944";"Noord-Limburg";"280548"
"Neder-Betuwe";"1740";"Zuidwest-Gelderland";"237518"
"Nederweert";"0946";"Midden-Limburg";"235466"
"Neerijnen";"0304";"Zuidwest-Gelderland";"237518"
"Nieuwegein";"0356";"Stadsgewest Utrecht";"680142"
"Nieuwkoop";"0569";"Oost-Zuid-Holland";"318653"
"Nijkerk";"0267";"Veluwe";"667853"
"Nijmegen";"0268";"Arnhem/Nijmegen";"722229"
"Nissewaard";"1930";"Rijnmond";"1231205"
"Noord-Beveland";"1695";"Overig Zeeland";"275038"
"Noordenveld";"1699";"Noord-Drenthe";"189373"
"Noordoostpolder";"0171";"Noordoostpolder en Urk";"66190"
"Noordwijk";"0575";"Agglomeratie Leiden en Bollenstreek";"415065"
"Noordwijkerhout";"0576";"Agglomeratie Leiden en Bollenstreek";"415065"
"Nuenen, Gerwen en Nederwetten";"0820";"Zuidoost-Noord-Brabant";"752485"
"Nunspeet";"0302";"Veluwe";"667853"
"Nuth";"0951";"Zuid-Limburg";"602040"
"Oegstgeest";"0579";"Agglomeratie Leiden en Bollenstreek";"415065"
"Oirschot";"0823";"Zuidoost-Noord-Brabant";"752485"
"Oisterwijk";"0824";"Midden-Noord-Brabant";"466633"
"Oldambt";"1895";"Oost-Groningen";"149000"
"Oldebroek";"0269";"Veluwe";"667853"
"Oldenzaal";"0173";"Twente";"626009"
"Olst-Wijhe";"1773";"Zuidwest-Overijssel";"152945"
"Ommen";"0175";"Noord-Overijssel";"361705"
"Onderbanken";"0881";"Zuid-Limburg";"602040"
"Oost Gelre";"1586";"Achterhoek";"398793"
"Oosterhout";"0826";"West-Noord-Brabant";"624496"
"Ooststellingwerf";"0085";"Zuidoost-Friesland";"186787"
"Oostzaan";"0431";"Overig Agglomeratie Amsterdam";"147093"
"Opmeer";"0432";"Kop van Noord-Holland";"372105"
"Opsterland";"0086";"Zuidoost-Friesland";"186787"
"Oss";"0828";"Overig Noordoost-Noord-Brabant";"330051"
"Oud-Beijerland";"0584";"Overig Groot-Rijnmond";"227775"
"Oude IJsselstreek";"1509";"Achterhoek";"398793"
"Ouder-Amstel";"0437";"Overig Agglomeratie Amsterdam";"147093"
"Oudewater";"0589";"Utrecht-West";"130930"
"Overbetuwe";"1734";"Arnhem/Nijmegen";"722229"
"Papendrecht";"0590";"Drechtsteden";"238293"
"Peel en Maas";"1894";"Noord-Limburg";"280548"
"Pekela";"0765";"Oost-Groningen";"149000"
"Pijnacker-Nootdorp";"1926";"Aggl. 's-Gravenhage excl. Zoetermeer";"713800"
"Purmerend";"0439";"Edam-Volendam en omgeving";"141053"
"Putten";"0273";"Veluwe";"667853"
"Raalte";"0177";"Zuidwest-Overijssel";"152945"
"Reimerswaal";"0703";"Overig Zeeland";"275038"
"Renkum";"0274";"Arnhem/Nijmegen";"722229"
"Renswoude";"0339";"Zuidoost-Utrecht";"159130"
"Reusel-De Mierden";"1667";"Zuidoost-Noord-Brabant";"752485"
"Rheden";"0275";"Arnhem/Nijmegen";"722229"
"Rhenen";"0340";"Zuidoost-Utrecht";"159130"
"Ridderkerk";"0597";"Rijnmond";"1231205"
"Rijnwaarden";"0196";"Arnhem/Nijmegen";"722229"
"Rijssen-Holten";"1742";"Twente";"626009"
"Rijswijk";"0603";"Aggl. 's-Gravenhage excl. Zoetermeer";"713800"
"Roerdalen";"1669";"Midden-Limburg";"235466"
"Roermond";"0957";"Midden-Limburg";"235466"
"Roosendaal";"1674";"West-Noord-Brabant";"624496"
"Rotterdam";"0599";"Rijnmond";"1231205"
"Rozendaal";"0277";"Arnhem/Nijmegen";"722229"
"Rucphen";"0840";"West-Noord-Brabant";"624496"
"Schagen";"0441";"Kop van Noord-Holland";"372105"
"Scherpenzeel";"0279";"Veluwe";"667853"
"Schiedam";"0606";"Rijnmond";"1231205"
"Schiermonnikoog";"0088";"Noord-Friesland";"324135"
"Schijndel";"0844";"Stadsgewest 's-Hertogenbosch";"315660"
"Schinnen";"0962";"Zuid-Limburg";"602040"
"Schouwen-Duiveland";"1676";"Overig Zeeland";"275038"
"Simpelveld";"0965";"Zuid-Limburg";"602040"
"Sint Anthonis";"1702";"Overig Noordoost-Noord-Brabant";"330051"
"Sint-Michielsgestel";"0845";"Stadsgewest 's-Hertogenbosch";"315660"
"Sint-Oedenrode";"0846";"Overig Noordoost-Noord-Brabant";"330051"
"Sittard-Geleen";"1883";"Zuid-Limburg";"602040"
"Sliedrecht";"0610";"Drechtsteden";"238293"
"Slochteren";"0040";"Overig Groningen";"387520"
"Sluis";"1714";"Zeeuwsch-Vlaanderen";"105679"
"Smallingerland";"0090";"Zuidoost-Friesland";"186787"
"Soest";"0342";"Stadsgewest Amersfoort";"293307"
"Someren";"0847";"Zuidoost-Noord-Brabant";"752485"
"Son en Breugel";"0848";"Zuidoost-Noord-Brabant";"752485"
"Stadskanaal";"0037";"Oost-Groningen";"149000"
"Staphorst";"0180";"Noord-Overijssel";"361705"
"Stede Broec";"0532";"Kop van Noord-Holland";"372105"
"Steenbergen";"0851";"West-Noord-Brabant";"624496"
"Steenwijkerland";"1708";"Noord-Overijssel";"361705"
"Stein";"0971";"Zuid-Limburg";"602040"
"Stichtse Vecht";"1904";"Stadsgewest Utrecht";"680142"
"Strijen";"0617";"Overig Groot-Rijnmond";"227775"
"Súdwest Fryslân";"1900";"Zuidwest-Friesland";"135402"
"Ten Boer";"0009";"Overig Groningen";"387520"
"Terneuzen";"0715";"Zeeuwsch-Vlaanderen";"105679"
"Terschelling";"0093";"Noord-Friesland";"324135"
"Texel";"0448";"Kop van Noord-Holland";"372105"
"Teylingen";"1525";"Agglomeratie Leiden en Bollenstreek";"415065"
"Tholen";"0716";"Overig Zeeland";"275038"
"Tiel";"0281";"Zuidwest-Gelderland";"237518"
"Tilburg";"0855";"Midden-Noord-Brabant";"466633"
"Tubbergen";"0183";"Twente";"626009"
"Twenterand";"1700";"Twente";"626009"
"Tynaarlo";"1730";"Noord-Drenthe";"189373"
"Tytsjerksteradiel";"0737";"Noord-Friesland";"324135"
"Uden";"0856";"Overig Noordoost-Noord-Brabant";"330051"
"Uitgeest";"0450";"IJmond";"194115"
"Uithoorn";"0451";"Haarlemmermeer en omgeving";"203978"
"Urk";"0184";"Noordoostpolder en Urk";"66190"
"Utrecht";"0344";"Stadsgewest Utrecht";"680142"
"Utrechtse Heuvelrug";"1581";"Zuidoost-Utrecht";"159130"
"Vaals";"0981";"Zuid-Limburg";"602040"
"Valkenburg aan de Geul";"0994";"Zuid-Limburg";"602040"
"Valkenswaard";"0858";"Zuidoost-Noord-Brabant";"752485"
"Veendam";"0047";"Oost-Groningen";"149000"
"Veenendaal";"0345";"Zuidoost-Utrecht";"159130"
"Veere";"0717";"Overig Zeeland";"275038"
"Veghel";"0860";"Overig Noordoost-Noord-Brabant";"330051"
"Veldhoven";"0861";"Zuidoost-Noord-Brabant";"752485"
"Velsen";"0453";"IJmond";"194115"
"Venlo";"0983";"Noord-Limburg";"280548"
"Venray";"0984";"Noord-Limburg";"280548"
"Vianen";"0620";"Stadsgewest Utrecht";"680142"
"Vlaardingen";"0622";"Rijnmond";"1231205"
"Vlagtwedde";"0048";"Oost-Groningen";"149000"
"Vlieland";"0096";"Noord-Friesland";"324135"
"Vlissingen";"0718";"Overig Zeeland";"275038"
"Voerendaal";"0986";"Zuid-Limburg";"602040"
"Voorschoten";"0626";"Agglomeratie Leiden en Bollenstreek";"415065"
"Voorst";"0285";"Veluwe";"667853"
"Vught";"0865";"Stadsgewest 's-Hertogenbosch";"315660"
"Waalre";"0866";"Zuidoost-Noord-Brabant";"752485"
"Waalwijk";"0867";"Midden-Noord-Brabant";"466633"
"Waddinxveen";"0627";"Oost-Zuid-Holland";"318653"
"Wageningen";"0289";"Veluwe";"667853"
"Wassenaar";"0629";"Aggl. 's-Gravenhage excl. Zoetermeer";"713800"
"Waterland";"0852";"Edam-Volendam en omgeving";"141053"
"Weert";"0988";"Midden-Limburg";"235466"
"Weesp";"0457";"Het Gooi en Vechtstreek";"246540"
"Werkendam";"0870";"Midden-Noord-Brabant";"466633"
"West Maas en Waal";"0668";"Zuidwest-Gelderland";"237518"
"Westerveld";"1701";"Zuidwest-Drenthe";"130400"
"Westervoort";"0293";"Arnhem/Nijmegen";"722229"
"Westland";"1783";"Delft en Westland";"224084"
"Weststellingwerf";"0098";"Zuidoost-Friesland";"186787"
"Westvoorne";"0614";"Rijnmond";"1231205"
"Wierden";"0189";"Twente";"626009"
"Wijchen";"0296";"Arnhem/Nijmegen";"722229"
"Wijdemeren";"1696";"Het Gooi en Vechtstreek";"246540"
"Wijk bij Duurstede";"0352";"Zuidoost-Utrecht";"159130"
"Winsum";"0053";"Overig Groningen";"387520"
"Winterswijk";"0294";"Achterhoek";"398793"
"Woensdrecht";"0873";"West-Noord-Brabant";"624496"
"Woerden";"0632";"Utrecht-West";"130930"
"Wormerland";"0880";"Zaanstreek";"167172"
"Woudenberg";"0351";"Stadsgewest Amersfoort";"293307"
"Woudrichem";"0874";"Midden-Noord-Brabant";"466633"
"Zaanstad";"0479";"Zaanstreek";"167172"
"Zaltbommel";"0297";"Zuidwest-Gelderland";"237518"
"Zandvoort";"0473";"Agglomeratie Haarlem";"227658"
"Zederik";"0707";"Overig Zuidoost-Zuid-Holland";"162058"
"Zeewolde";"0050";"Flevoland-Midden";"138377"
"Zeist";"0355";"Stadsgewest Utrecht";"680142"
"Zevenaar";"0299";"Arnhem/Nijmegen";"722229"
"Zoetermeer";"0637";"Zoetermeer";"124024"
"Zoeterwoude";"0638";"Agglomeratie Leiden en Bollenstreek";"415065"
"Zuidhorn";"0056";"Overig Groningen";"387520"
"Zuidplas";"1892";"Overig Groot-Rijnmond";"227775"
"Zundert";"0879";"West-Noord-Brabant";"624496"
"Zutphen";"0301";"Achterhoek";"398793"
"Zwartewaterland";"1896";"Noord-Overijssel";"361705"
"Zwijndrecht";"0642";"Drechtsteden";"238293"
"Zwolle";"0193";"Noord-Overijssel";"361705"