"Gemeente";"CBS";"NUTS-2 Regio's (Provincies)";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Drenthe";"488611"
"Aalburg";"0738";"Noord-Brabant";"2489325"
"Aalsmeer";"0358";"Noord-Holland";"2762163"
"Aalten";"0197";"Gelderland";"2026393"
"Achtkarspelen";"0059";"Friesland (NL)";"646324"
"Alblasserdam";"0482";"Zuid-Holland";"3600784"
"Albrandswaard";"0613";"Zuid-Holland";"3600784"
"Alkmaar";"0361";"Noord-Holland";"2762163"
"Almelo";"0141";"Overijssel";"1140659"
"Almere";"0034";"Flevoland";"401503"
"Alphen aan den Rijn";"0484";"Zuid-Holland";"3600784"
"Alphen-Chaam";"1723";"Noord-Brabant";"2489325"
"Ameland";"0060";"Friesland (NL)";"646324"
"Amersfoort";"0307";"Utrecht";"1263509"
"Amstelveen";"0362";"Noord-Holland";"2762163"
"Amsterdam";"0363";"Noord-Holland";"2762163"
"Apeldoorn";"0200";"Gelderland";"2026393"
"Appingedam";"0003";"Groningen";"584104"
"Arnhem";"0202";"Gelderland";"2026393"
"Assen";"0106";"Drenthe";"488611"
"Asten";"0743";"Noord-Brabant";"2489325"
"Baarle-Nassau";"0744";"Noord-Brabant";"2489325"
"Baarn";"0308";"Utrecht";"1263509"
"Barendrecht";"0489";"Zuid-Holland";"3600784"
"Barneveld";"0203";"Gelderland";"2026393"
"Bedum";"0005";"Groningen";"584104"
"Beek";"0888";"Limburg (NL)";"1118054"
"Beemster";"0370";"Noord-Holland";"2762163"
"Beesel";"0889";"Limburg (NL)";"1118054"
"Bellingwedde";"0007";"Groningen";"584104"
"Berg en Dal";"1945";"Gelderland";"2026393"
"Bergeijk";"1724";"Noord-Brabant";"2489325"
"Bergen (L)";"0893";"Limburg (NL)";"1118054"
"Bergen (NH)";"0373";"Noord-Holland";"2762163"
"Bergen op Zoom";"0748";"Noord-Brabant";"2489325"
"Berkelland";"1859";"Gelderland";"2026393"
"Bernheze";"1721";"Noord-Brabant";"2489325"
"Best";"0753";"Noord-Brabant";"2489325"
"Beuningen";"0209";"Gelderland";"2026393"
"Beverwijk";"0375";"Noord-Holland";"2762163"
"Binnenmaas";"0585";"Zuid-Holland";"3600784"
"Bladel";"1728";"Noord-Brabant";"2489325"
"Blaricum";"0376";"Noord-Holland";"2762163"
"Bloemendaal";"0377";"Noord-Holland";"2762163"
"Bodegraven-Reeuwijk";"1901";"Zuid-Holland";"3600784"
"Boekel";"0755";"Noord-Brabant";"2489325"
"Borger-Odoorn";"1681";"Drenthe";"488611"
"Borne";"0147";"Overijssel";"1140659"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Noord-Brabant";"2489325"
"Boxtel";"0757";"Noord-Brabant";"2489325"
"Breda";"0758";"Noord-Brabant";"2489325"
"Brielle";"0501";"Zuid-Holland";"3600784"
"Bronckhorst";"1876";"Gelderland";"2026393"
"Brummen";"0213";"Gelderland";"2026393"
"Brunssum";"0899";"Limburg (NL)";"1118054"
"Bunnik";"0312";"Utrecht";"1263509"
"Bunschoten";"0313";"Utrecht";"1263509"
"Buren";"0214";"Gelderland";"2026393"
"Capelle aan den IJssel";"0502";"Zuid-Holland";"3600784"
"Castricum";"0383";"Noord-Holland";"2762163"
"Coevorden";"0109";"Drenthe";"488611"
"Cranendonck";"1706";"Noord-Brabant";"2489325"
"Cromstrijen";"0611";"Zuid-Holland";"3600784"
"Cuijk";"1684";"Noord-Brabant";"2489325"
"Culemborg";"0216";"Gelderland";"2026393"
"Dalfsen";"0148";"Overijssel";"1140659"
"Dantumadiel";"1891";"Friesland (NL)";"646324"
"De Bilt";"0310";"Utrecht";"1263509"
"De Fryske Marren";"1940";"Friesland (NL)";"646324"
"De Marne";"1663";"Groningen";"584104"
"De Ronde Venen";"0736";"Utrecht";"1263509"
"De Wolden";"1690";"Drenthe";"488611"
"Delft";"0503";"Zuid-Holland";"3600784"
"Delfzijl";"0010";"Groningen";"584104"
"Den Helder";"0400";"Noord-Holland";"2762163"
"Deurne";"0762";"Noord-Brabant";"2489325"
"Deventer";"0150";"Overijssel";"1140659"
"Diemen";"0384";"Noord-Holland";"2762163"
"Dinkelland";"1774";"Overijssel";"1140659"
"Doesburg";"0221";"Gelderland";"2026393"
"Doetinchem";"0222";"Gelderland";"2026393"
"Dongen";"0766";"Noord-Brabant";"2489325"
"Dongeradeel";"0058";"Friesland (NL)";"646324"
"Dordrecht";"0505";"Zuid-Holland";"3600784"
"Drechterland";"0498";"Noord-Holland";"2762163"
"Drimmelen";"1719";"Noord-Brabant";"2489325"
"Dronten";"0303";"Flevoland";"401503"
"Druten";"0225";"Gelderland";"2026393"
"Duiven";"0226";"Gelderland";"2026393"
"Echt-Susteren";"1711";"Limburg (NL)";"1118054"
"Edam-Volendam";"0385";"Noord-Holland";"2762163"
"Ede";"0228";"Gelderland";"2026393"
"Eemnes";"0317";"Utrecht";"1263509"
"Eemsmond";"1651";"Groningen";"584104"
"Eersel";"0770";"Noord-Brabant";"2489325"
"Eijsden-Margraten";"1903";"Limburg (NL)";"1118054"
"Eindhoven";"0772";"Noord-Brabant";"2489325"
"Elburg";"0230";"Gelderland";"2026393"
"Emmen";"0114";"Drenthe";"488611"
"Enkhuizen";"0388";"Noord-Holland";"2762163"
"Enschede";"0153";"Overijssel";"1140659"
"Epe";"0232";"Gelderland";"2026393"
"Ermelo";"0233";"Gelderland";"2026393"
"Etten-Leur";"0777";"Noord-Brabant";"2489325"
"Ferwerderadiel";"1722";"Friesland (NL)";"646324"
"Franekeradeel";"0070";"Friesland (NL)";"646324"
"Geertruidenberg";"0779";"Noord-Brabant";"2489325"
"Geldermalsen";"0236";"Gelderland";"2026393"
"Geldrop-Mierlo";"1771";"Noord-Brabant";"2489325"
"Gemert-Bakel";"1652";"Noord-Brabant";"2489325"
"Gennep";"0907";"Limburg (NL)";"1118054"
"Giessenlanden";"0689";"Zuid-Holland";"3600784"
"Gilze en Rijen";"0784";"Noord-Brabant";"2489325"
"Goeree-Overflakkee";"1924";"Zuid-Holland";"3600784"
"Goes";"0664";"Zeeland";"380717"
"Goirle";"0785";"Noord-Brabant";"2489325"
"Gooise Meren";"1942";"Noord-Holland";"2762163"
"Gorinchem";"0512";"Zuid-Holland";"3600784"
"Gouda";"0513";"Zuid-Holland";"3600784"
"Grave";"0786";"Noord-Brabant";"2489325"
"'s-Gravenhage";"0518";"Zuid-Holland";"3600784"
"Groningen";"0014";"Groningen";"584104"
"Grootegast";"0015";"Groningen";"584104"
"Gulpen-Wittem";"1729";"Limburg (NL)";"1118054"
"Haaksbergen";"0158";"Overijssel";"1140659"
"Haaren";"0788";"Noord-Brabant";"2489325"
"Haarlem";"0392";"Noord-Holland";"2762163"
"Haarlemmerliede en Spaarnwoude";"0393";"Noord-Holland";"2762163"
"Haarlemmermeer";"0394";"Noord-Holland";"2762163"
"Halderberge";"1655";"Noord-Brabant";"2489325"
"Hardenberg";"0160";"Overijssel";"1140659"
"Harderwijk";"0243";"Gelderland";"2026393"
"Hardinxveld-Giessendam";"0523";"Zuid-Holland";"3600784"
"Haren";"0017";"Groningen";"584104"
"Harlingen";"0072";"Friesland (NL)";"646324"
"Hattem";"0244";"Gelderland";"2026393"
"Heemskerk";"0396";"Noord-Holland";"2762163"
"Heemstede";"0397";"Noord-Holland";"2762163"
"Heerde";"0246";"Gelderland";"2026393"
"Heerenveen";"0074";"Friesland (NL)";"646324"
"Heerhugowaard";"0398";"Noord-Holland";"2762163"
"Heerlen";"0917";"Limburg (NL)";"1118054"
"Heeze-Leende";"1658";"Noord-Brabant";"2489325"
"Heiloo";"0399";"Noord-Holland";"2762163"
"Hellendoorn";"0163";"Overijssel";"1140659"
"Hellevoetsluis";"0530";"Zuid-Holland";"3600784"
"Helmond";"0794";"Noord-Brabant";"2489325"
"Hendrik-Ido-Ambacht";"0531";"Zuid-Holland";"3600784"
"Hengelo (O)";"0164";"Overijssel";"1140659"
"'s-Hertogenbosch";"0796";"Noord-Brabant";"2489325"
"het Bildt";"0063";"Friesland (NL)";"646324"
"Heumen";"0252";"Gelderland";"2026393"
"Heusden";"0797";"Noord-Brabant";"2489325"
"Hillegom";"0534";"Zuid-Holland";"3600784"
"Hilvarenbeek";"0798";"Noord-Brabant";"2489325"
"Hilversum";"0402";"Noord-Holland";"2762163"
"Hof van Twente";"1735";"Overijssel";"1140659"
"Hollands Kroon";"1911";"Noord-Holland";"2762163"
"Hoogeveen";"0118";"Drenthe";"488611"
"Hoogezand-Sappemeer";"0018";"Groningen";"584104"
"Hoorn";"0405";"Noord-Holland";"2762163"
"Horst aan de Maas";"1507";"Limburg (NL)";"1118054"
"Houten";"0321";"Utrecht";"1263509"
"Huizen";"0406";"Noord-Holland";"2762163"
"Hulst";"0677";"Zeeland";"380717"
"IJsselstein";"0353";"Utrecht";"1263509"
"Kaag en Braassem";"1884";"Zuid-Holland";"3600784"
"Kampen";"0166";"Overijssel";"1140659"
"Kapelle";"0678";"Zeeland";"380717"
"Katwijk";"0537";"Zuid-Holland";"3600784"
"Kerkrade";"0928";"Limburg (NL)";"1118054"
"Koggenland";"1598";"Noord-Holland";"2762163"
"Kollumerland en Nieuwkruisland";"0079";"Friesland (NL)";"646324"
"Korendijk";"0588";"Zuid-Holland";"3600784"
"Krimpen aan den IJssel";"0542";"Zuid-Holland";"3600784"
"Krimpenerwaard";"1931";"Zuid-Holland";"3600784"
"Laarbeek";"1659";"Noord-Brabant";"2489325"
"Landerd";"1685";"Noord-Brabant";"2489325"
"Landgraaf";"0882";"Limburg (NL)";"1118054"
"Landsmeer";"0415";"Noord-Holland";"2762163"
"Langedijk";"0416";"Noord-Holland";"2762163"
"Lansingerland";"1621";"Zuid-Holland";"3600784"
"Laren";"0417";"Noord-Holland";"2762163"
"Leek";"0022";"Groningen";"584104"
"Leerdam";"0545";"Zuid-Holland";"3600784"
"Leeuwarden";"0080";"Friesland (NL)";"646324"
"Leeuwarderadeel";"0081";"Friesland (NL)";"646324"
"Leiden";"0546";"Zuid-Holland";"3600784"
"Leiderdorp";"0547";"Zuid-Holland";"3600784"
"Leidschendam-Voorburg";"1916";"Zuid-Holland";"3600784"
"Lelystad";"0995";"Flevoland";"401503"
"Leudal";"1640";"Limburg (NL)";"1118054"
"Leusden";"0327";"Utrecht";"1263509"
"Lingewaal";"0733";"Gelderland";"2026393"
"Lingewaard";"1705";"Gelderland";"2026393"
"Lisse";"0553";"Zuid-Holland";"3600784"
"Littenseradiel";"0140";"Friesland (NL)";"646324"
"Lochem";"0262";"Gelderland";"2026393"
"Loon op Zand";"0809";"Noord-Brabant";"2489325"
"Lopik";"0331";"Utrecht";"1263509"
"Loppersum";"0024";"Groningen";"584104"
"Losser";"0168";"Overijssel";"1140659"
"Maasdriel";"0263";"Gelderland";"2026393"
"Maasgouw";"1641";"Limburg (NL)";"1118054"
"Maassluis";"0556";"Zuid-Holland";"3600784"
"Maastricht";"0935";"Limburg (NL)";"1118054"
"Marum";"0025";"Groningen";"584104"
"Medemblik";"0420";"Noord-Holland";"2762163"
"Meerssen";"0938";"Limburg (NL)";"1118054"
"Menameradiel";"1908";"Friesland (NL)";"646324"
"Menterwolde";"1987";"Groningen";"584104"
"Meppel";"0119";"Drenthe";"488611"
"Middelburg";"0687";"Zeeland";"380717"
"Midden-Delfland";"1842";"Zuid-Holland";"3600784"
"Midden-Drenthe";"1731";"Drenthe";"488611"
"Mill en Sint Hubert";"0815";"Noord-Brabant";"2489325"
"Moerdijk";"1709";"Noord-Brabant";"2489325"
"Molenwaard";"1927";"Zuid-Holland";"3600784"
"Montferland";"1955";"Gelderland";"2026393"
"Montfoort";"0335";"Utrecht";"1263509"
"Mook en Middelaar";"0944";"Limburg (NL)";"1118054"
"Neder-Betuwe";"1740";"Gelderland";"2026393"
"Nederweert";"0946";"Limburg (NL)";"1118054"
"Neerijnen";"0304";"Gelderland";"2026393"
"Nieuwegein";"0356";"Utrecht";"1263509"
"Nieuwkoop";"0569";"Zuid-Holland";"3600784"
"Nijkerk";"0267";"Gelderland";"2026393"
"Nijmegen";"0268";"Gelderland";"2026393"
"Nissewaard";"1930";"Zuid-Holland";"3600784"
"Noord-Beveland";"1695";"Zeeland";"380717"
"Noordenveld";"1699";"Drenthe";"488611"
"Noordoostpolder";"0171";"Flevoland";"401503"
"Noordwijk";"0575";"Zuid-Holland";"3600784"
"Noordwijkerhout";"0576";"Zuid-Holland";"3600784"
"Nuenen, Gerwen en Nederwetten";"0820";"Noord-Brabant";"2489325"
"Nunspeet";"0302";"Gelderland";"2026393"
"Nuth";"0951";"Limburg (NL)";"1118054"
"Oegstgeest";"0579";"Zuid-Holland";"3600784"
"Oirschot";"0823";"Noord-Brabant";"2489325"
"Oisterwijk";"0824";"Noord-Brabant";"2489325"
"Oldambt";"1895";"Groningen";"584104"
"Oldebroek";"0269";"Gelderland";"2026393"
"Oldenzaal";"0173";"Overijssel";"1140659"
"Olst-Wijhe";"1773";"Overijssel";"1140659"
"Ommen";"0175";"Overijssel";"1140659"
"Onderbanken";"0881";"Limburg (NL)";"1118054"
"Oost Gelre";"1586";"Gelderland";"2026393"
"Oosterhout";"0826";"Noord-Brabant";"2489325"
"Ooststellingwerf";"0085";"Friesland (NL)";"646324"
"Oostzaan";"0431";"Noord-Holland";"2762163"
"Opmeer";"0432";"Noord-Holland";"2762163"
"Opsterland";"0086";"Friesland (NL)";"646324"
"Oss";"0828";"Noord-Brabant";"2489325"
"Oud-Beijerland";"0584";"Zuid-Holland";"3600784"
"Oude IJsselstreek";"1509";"Gelderland";"2026393"
"Ouder-Amstel";"0437";"Noord-Holland";"2762163"
"Oudewater";"0589";"Utrecht";"1263509"
"Overbetuwe";"1734";"Gelderland";"2026393"
"Papendrecht";"0590";"Zuid-Holland";"3600784"
"Peel en Maas";"1894";"Limburg (NL)";"1118054"
"Pekela";"0765";"Groningen";"584104"
"Pijnacker-Nootdorp";"1926";"Zuid-Holland";"3600784"
"Purmerend";"0439";"Noord-Holland";"2762163"
"Putten";"0273";"Gelderland";"2026393"
"Raalte";"0177";"Overijssel";"1140659"
"Reimerswaal";"0703";"Zeeland";"380717"
"Renkum";"0274";"Gelderland";"2026393"
"Renswoude";"0339";"Utrecht";"1263509"
"Reusel-De Mierden";"1667";"Noord-Brabant";"2489325"
"Rheden";"0275";"Gelderland";"2026393"
"Rhenen";"0340";"Utrecht";"1263509"
"Ridderkerk";"0597";"Zuid-Holland";"3600784"
"Rijnwaarden";"0196";"Gelderland";"2026393"
"Rijssen-Holten";"1742";"Overijssel";"1140659"
"Rijswijk";"0603";"Zuid-Holland";"3600784"
"Roerdalen";"1669";"Limburg (NL)";"1118054"
"Roermond";"0957";"Limburg (NL)";"1118054"
"Roosendaal";"1674";"Noord-Brabant";"2489325"
"Rotterdam";"0599";"Zuid-Holland";"3600784"
"Rozendaal";"0277";"Gelderland";"2026393"
"Rucphen";"0840";"Noord-Brabant";"2489325"
"Schagen";"0441";"Noord-Holland";"2762163"
"Scherpenzeel";"0279";"Gelderland";"2026393"
"Schiedam";"0606";"Zuid-Holland";"3600784"
"Schiermonnikoog";"0088";"Friesland (NL)";"646324"
"Schijndel";"0844";"Noord-Brabant";"2489325"
"Schinnen";"0962";"Limburg (NL)";"1118054"
"Schouwen-Duiveland";"1676";"Zeeland";"380717"
"Simpelveld";"0965";"Limburg (NL)";"1118054"
"Sint Anthonis";"1702";"Noord-Brabant";"2489325"
"Sint-Michielsgestel";"0845";"Noord-Brabant";"2489325"
"Sint-Oedenrode";"0846";"Noord-Brabant";"2489325"
"Sittard-Geleen";"1883";"Limburg (NL)";"1118054"
"Sliedrecht";"0610";"Zuid-Holland";"3600784"
"Slochteren";"0040";"Groningen";"584104"
"Sluis";"1714";"Zeeland";"380717"
"Smallingerland";"0090";"Friesland (NL)";"646324"
"Soest";"0342";"Utrecht";"1263509"
"Someren";"0847";"Noord-Brabant";"2489325"
"Son en Breugel";"0848";"Noord-Brabant";"2489325"
"Stadskanaal";"0037";"Groningen";"584104"
"Staphorst";"0180";"Overijssel";"1140659"
"Stede Broec";"0532";"Noord-Holland";"2762163"
"Steenbergen";"0851";"Noord-Brabant";"2489325"
"Steenwijkerland";"1708";"Overijssel";"1140659"
"Stein";"0971";"Limburg (NL)";"1118054"
"Stichtse Vecht";"1904";"Utrecht";"1263509"
"Strijen";"0617";"Zuid-Holland";"3600784"
"Súdwest Fryslân";"1900";"Friesland (NL)";"646324"
"Ten Boer";"0009";"Groningen";"584104"
"Terneuzen";"0715";"Zeeland";"380717"
"Terschelling";"0093";"Friesland (NL)";"646324"
"Texel";"0448";"Noord-Holland";"2762163"
"Teylingen";"1525";"Zuid-Holland";"3600784"
"Tholen";"0716";"Zeeland";"380717"
"Tiel";"0281";"Gelderland";"2026393"
"Tilburg";"0855";"Noord-Brabant";"2489325"
"Tubbergen";"0183";"Overijssel";"1140659"
"Twenterand";"1700";"Overijssel";"1140659"
"Tynaarlo";"1730";"Drenthe";"488611"
"Tytsjerksteradiel";"0737";"Friesland (NL)";"646324"
"Uden";"0856";"Noord-Brabant";"2489325"
"Uitgeest";"0450";"Noord-Holland";"2762163"
"Uithoorn";"0451";"Noord-Holland";"2762163"
"Urk";"0184";"Flevoland";"401503"
"Utrecht";"0344";"Utrecht";"1263509"
"Utrechtse Heuvelrug";"1581";"Utrecht";"1263509"
"Vaals";"0981";"Limburg (NL)";"1118054"
"Valkenburg aan de Geul";"0994";"Limburg (NL)";"1118054"
"Valkenswaard";"0858";"Noord-Brabant";"2489325"
"Veendam";"0047";"Groningen";"584104"
"Veenendaal";"0345";"Utrecht";"1263509"
"Veere";"0717";"Zeeland";"380717"
"Veghel";"0860";"Noord-Brabant";"2489325"
"Veldhoven";"0861";"Noord-Brabant";"2489325"
"Velsen";"0453";"Noord-Holland";"2762163"
"Venlo";"0983";"Limburg (NL)";"1118054"
"Venray";"0984";"Limburg (NL)";"1118054"
"Vianen";"0620";"Utrecht";"1263509"
"Vlaardingen";"0622";"Zuid-Holland";"3600784"
"Vlagtwedde";"0048";"Groningen";"584104"
"Vlieland";"0096";"Friesland (NL)";"646324"
"Vlissingen";"0718";"Zeeland";"380717"
"Voerendaal";"0986";"Limburg (NL)";"1118054"
"Voorschoten";"0626";"Zuid-Holland";"3600784"
"Voorst";"0285";"Gelderland";"2026393"
"Vught";"0865";"Noord-Brabant";"2489325"
"Waalre";"0866";"Noord-Brabant";"2489325"
"Waalwijk";"0867";"Noord-Brabant";"2489325"
"Waddinxveen";"0627";"Zuid-Holland";"3600784"
"Wageningen";"0289";"Gelderland";"2026393"
"Wassenaar";"0629";"Zuid-Holland";"3600784"
"Waterland";"0852";"Noord-Holland";"2762163"
"Weert";"0988";"Limburg (NL)";"1118054"
"Weesp";"0457";"Noord-Holland";"2762163"
"Werkendam";"0870";"Noord-Brabant";"2489325"
"West Maas en Waal";"0668";"Gelderland";"2026393"
"Westerveld";"1701";"Drenthe";"488611"
"Westervoort";"0293";"Gelderland";"2026393"
"Westland";"1783";"Zuid-Holland";"3600784"
"Weststellingwerf";"0098";"Friesland (NL)";"646324"
"Westvoorne";"0614";"Zuid-Holland";"3600784"
"Wierden";"0189";"Overijssel";"1140659"
"Wijchen";"0296";"Gelderland";"2026393"
"Wijdemeren";"1696";"Noord-Holland";"2762163"
"Wijk bij Duurstede";"0352";"Utrecht";"1263509"
"Winsum";"0053";"Groningen";"584104"
"Winterswijk";"0294";"Gelderland";"2026393"
"Woensdrecht";"0873";"Noord-Brabant";"2489325"
"Woerden";"0632";"Utrecht";"1263509"
"Wormerland";"0880";"Noord-Holland";"2762163"
"Woudenberg";"0351";"Utrecht";"1263509"
"Woudrichem";"0874";"Noord-Brabant";"2489325"
"Zaanstad";"0479";"Noord-Holland";"2762163"
"Zaltbommel";"0297";"Gelderland";"2026393"
"Zandvoort";"0473";"Noord-Holland";"2762163"
"Zederik";"0707";"Zuid-Holland";"3600784"
"Zeewolde";"0050";"Flevoland";"401503"
"Zeist";"0355";"Utrecht";"1263509"
"Zevenaar";"0299";"Gelderland";"2026393"
"Zoetermeer";"0637";"Zuid-Holland";"3600784"
"Zoeterwoude";"0638";"Zuid-Holland";"3600784"
"Zuidhorn";"0056";"Groningen";"584104"
"Zuidplas";"1892";"Zuid-Holland";"3600784"
"Zundert";"0879";"Noord-Brabant";"2489325"
"Zutphen";"0301";"Gelderland";"2026393"
"Zwartewaterland";"1896";"Overijssel";"1140659"
"Zwijndrecht";"0642";"Zuid-Holland";"3600784"
"Zwolle";"0193";"Overijssel";"1140659"