"Gemeente";"CBS";"Arbeidsmarktregio's";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Groningen";"740186"
"Aalburg";"0738";"West-Brabant";"678256"
"Aalsmeer";"0358";"Groot Amsterdam";"1195580"
"Aalten";"0197";"Achterhoek";"297732"
"Achtkarspelen";"0059";"Friesland";"646324"
"Alblasserdam";"0482";"Drechtsteden";"269492"
"Albrandswaard";"0613";"Rijnmond";"1346694"
"Alkmaar";"0361";"Noord-Holland Noord";"646991"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Flevoland";"379863"
"Alphen aan den Rijn";"0484";"Holland-Rijnland";"524447"
"Alphen-Chaam";"1723";"Midden-Brabant";"456009"
"Ameland";"0060";"Friesland";"646324"
"Amersfoort";"0307";"Amersfoort";"325363"
"Amstelveen";"0362";"Groot Amsterdam";"1195580"
"Amsterdam";"0363";"Groot Amsterdam";"1195580"
"Apeldoorn";"0200";"Stedendriehoek en Noordwest Veluwe";"599134"
"Appingedam";"0003";"Groningen";"740186"
"Arnhem";"0202";"Midden-Gelderland";"385090"
"Assen";"0106";"Groningen";"740186"
"Asten";"0743";"Helmond-De Peel";"247028"
"Baarle-Nassau";"0744";"Midden-Brabant";"456009"
"Baarn";"0308";"Amersfoort";"325363"
"Barendrecht";"0489";"Rijnmond";"1346694"
"Barneveld";"0203";"Food Valley";"332683"
"Bedum";"0005";"Groningen";"740186"
"Beek";"0888";"Zuid-Limburg";"602040"
"Beemster";"0370";"Zaanstreek/Waterland";"328233"
"Beesel";"0889";"Noord-Limburg";"272786"
"Bellingwedde";"0007";"Groningen";"740186"
"Berg en Dal";"1945";"Rijk van Nijmegen";"313489"
"Bergeijk";"1724";"Zuidoost-Brabant";"505457"
"Bergen (L)";"0893";"Noord-Limburg";"272786"
"Bergen (NH)";"0373";"Noord-Holland Noord";"646991"
"Bergen op Zoom";"0748";"West-Brabant";"678256"
"Berkelland";"1859";"Achterhoek";"297732"
"Bernheze";"1721";"Noordoost-Brabant";"602575"
"Best";"0753";"Zuidoost-Brabant";"505457"
"Beuningen";"0209";"Rijk van Nijmegen";"313489"
"Beverwijk";"0375";"Zuid-Kennemerland en IJmond";"387409"
"Binnenmaas";"0585";"Rijnmond";"1346694"
"Bladel";"1728";"Zuidoost-Brabant";"505457"
"Blaricum";"0376";"Gooi en Vechtstreek";"255347"
"Bloemendaal";"0377";"Zuid-Kennemerland en IJmond";"387409"
"Bodegraven-Reeuwijk";"1901";"Midden-Holland";"184129"
"Boekel";"0755";"Noordoost-Brabant";"602575"
"Borger-Odoorn";"1681";"Drenthe";"280644"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Noordoost-Brabant";"602575"
"Boxtel";"0757";"Noordoost-Brabant";"602575"
"Breda";"0758";"West-Brabant";"678256"
"Brielle";"0501";"Rijnmond";"1346694"
"Bronckhorst";"1876";"Achterhoek";"297732"
"Brummen";"0213";"Stedendriehoek en Noordwest Veluwe";"599134"
"Brunssum";"0899";"Zuid-Limburg";"602040"
"Bunnik";"0312";"Midden-Utrecht";"839900"
"Bunschoten";"0313";"Amersfoort";"325363"
"Buren";"0214";"Rivierenland";"226436"
"Capelle aan den IJssel";"0502";"Rijnmond";"1346694"
"Castricum";"0383";"Noord-Holland Noord";"646991"
"Coevorden";"0109";"Drenthe";"280644"
"Cranendonck";"1706";"Zuidoost-Brabant";"505457"
"Cromstrijen";"0611";"Rijnmond";"1346694"
"Cuijk";"1684";"Noordoost-Brabant";"602575"
"Culemborg";"0216";"Rivierenland";"226436"
"Dalfsen";"0148";"IJsselvechtstreek";"503533"
"Dantumadiel";"1891";"Friesland";"646324"
"De Bilt";"0310";"Midden-Utrecht";"839900"
"De Fryske Marren";"1940";"Friesland";"646324"
"De Marne";"1663";"Groningen";"740186"
"De Ronde Venen";"0736";"Groot Amsterdam";"1195580"
"De Wolden";"1690";"Drenthe";"280644"
"Delft";"0503";"Haaglanden";"786936"
"Delfzijl";"0010";"Groningen";"740186"
"Den Helder";"0400";"Noord-Holland Noord";"646991"
"Deurne";"0762";"Helmond-De Peel";"247028"
"Deventer";"0150";"Stedendriehoek en Noordwest Veluwe";"599134"
"Diemen";"0384";"Groot Amsterdam";"1195580"
"Dinkelland";"1774";"Twente";"626009"
"Doesburg";"0221";"Midden-Gelderland";"385090"
"Doetinchem";"0222";"Achterhoek";"297732"
"Dongen";"0766";"Midden-Brabant";"456009"
"Dongeradeel";"0058";"Friesland";"646324"
"Dordrecht";"0505";"Drechtsteden";"269492"
"Drechterland";"0498";"Noord-Holland Noord";"646991"
"Drimmelen";"1719";"West-Brabant";"678256"
"Dronten";"0303";"Flevoland";"379863"
"Druten";"0225";"Rijk van Nijmegen";"313489"
"Duiven";"0226";"Midden-Gelderland";"385090"
"Echt-Susteren";"1711";"Midden-Limburg";"235466"
"Edam-Volendam";"0385";"Zaanstreek/Waterland";"328233"
"Ede";"0228";"Food Valley";"332683"
"Eemnes";"0317";"Gooi en Vechtstreek";"255347"
"Eemsmond";"1651";"Groningen";"740186"
"Eersel";"0770";"Zuidoost-Brabant";"505457"
"Eijsden-Margraten";"1903";"Zuid-Limburg";"602040"
"Eindhoven";"0772";"Zuidoost-Brabant";"505457"
"Elburg";"0230";"Stedendriehoek en Noordwest Veluwe";"599134"
"Emmen";"0114";"Drenthe";"280644"
"Enkhuizen";"0388";"Noord-Holland Noord";"646991"
"Enschede";"0153";"Twente";"626009"
"Epe";"0232";"Stedendriehoek en Noordwest Veluwe";"599134"
"Ermelo";"0233";"Stedendriehoek en Noordwest Veluwe";"599134"
"Etten-Leur";"0777";"West-Brabant";"678256"
"Ferwerderadiel";"1722";"Friesland";"646324"
"Franekeradeel";"0070";"Friesland";"646324"
"Geertruidenberg";"0779";"West-Brabant";"678256"
"Geldermalsen";"0236";"Rivierenland";"226436"
"Geldrop-Mierlo";"1771";"Helmond-De Peel";"247028"
"Gemert-Bakel";"1652";"Helmond-De Peel";"247028"
"Gennep";"0907";"Noord-Limburg";"272786"
"Giessenlanden";"0689";"Gorinchem";"141941"
"Gilze en Rijen";"0784";"Midden-Brabant";"456009"
"Goeree-Overflakkee";"1924";"Rijnmond";"1346694"
"Goes";"0664";"Zeeland";"380717"
"Goirle";"0785";"Midden-Brabant";"456009"
"Gooise Meren";"1942";"Gooi en Vechtstreek";"255347"
"Gorinchem";"0512";"Gorinchem";"141941"
"Gouda";"0513";"Midden-Holland";"184129"
"Grave";"0786";"Noordoost-Brabant";"602575"
"'s-Gravenhage";"0518";"Haaglanden";"786936"
"Groningen";"0014";"Groningen";"740186"
"Grootegast";"0015";"Groningen";"740186"
"Gulpen-Wittem";"1729";"Zuid-Limburg";"602040"
"Haaksbergen";"0158";"Twente";"626009"
"Haaren";"0788";"Noordoost-Brabant";"602575"
"Haarlem";"0392";"Zuid-Kennemerland en IJmond";"387409"
"Haarlemmerliede en Spaarnwoude";"0393";"Zuid-Kennemerland en IJmond";"387409"
"Haarlemmermeer";"0394";"Groot Amsterdam";"1195580"
"Halderberge";"1655";"West-Brabant";"678256"
"Hardenberg";"0160";"IJsselvechtstreek";"503533"
"Harderwijk";"0243";"Stedendriehoek en Noordwest Veluwe";"599134"
"Hardinxveld-Giessendam";"0523";"Gorinchem";"141941"
"Haren";"0017";"Groningen";"740186"
"Harlingen";"0072";"Friesland";"646324"
"Hattem";"0244";"IJsselvechtstreek";"503533"
"Heemskerk";"0396";"Zuid-Kennemerland en IJmond";"387409"
"Heemstede";"0397";"Zuid-Kennemerland en IJmond";"387409"
"Heerde";"0246";"IJsselvechtstreek";"503533"
"Heerenveen";"0074";"Friesland";"646324"
"Heerhugowaard";"0398";"Noord-Holland Noord";"646991"
"Heerlen";"0917";"Zuid-Limburg";"602040"
"Heeze-Leende";"1658";"Zuidoost-Brabant";"505457"
"Heiloo";"0399";"Noord-Holland Noord";"646991"
"Hellendoorn";"0163";"Twente";"626009"
"Hellevoetsluis";"0530";"Rijnmond";"1346694"
"Helmond";"0794";"Helmond-De Peel";"247028"
"Hendrik-Ido-Ambacht";"0531";"Drechtsteden";"269492"
"Hengelo (O)";"0164";"Twente";"626009"
"'s-Hertogenbosch";"0796";"Noordoost-Brabant";"602575"
"het Bildt";"0063";"Friesland";"646324"
"Heumen";"0252";"Rijk van Nijmegen";"313489"
"Heusden";"0797";"Midden-Brabant";"456009"
"Hillegom";"0534";"Holland-Rijnland";"524447"
"Hilvarenbeek";"0798";"Midden-Brabant";"456009"
"Hilversum";"0402";"Gooi en Vechtstreek";"255347"
"Hof van Twente";"1735";"Twente";"626009"
"Hollands Kroon";"1911";"Noord-Holland Noord";"646991"
"Hoogeveen";"0118";"Drenthe";"280644"
"Hoogezand-Sappemeer";"0018";"Groningen";"740186"
"Hoorn";"0405";"Noord-Holland Noord";"646991"
"Horst aan de Maas";"1507";"Noord-Limburg";"272786"
"Houten";"0321";"Midden-Utrecht";"839900"
"Huizen";"0406";"Gooi en Vechtstreek";"255347"
"Hulst";"0677";"Zeeland";"380717"
"IJsselstein";"0353";"Midden-Utrecht";"839900"
"Kaag en Braassem";"1884";"Holland-Rijnland";"524447"
"Kampen";"0166";"IJsselvechtstreek";"503533"
"Kapelle";"0678";"Zeeland";"380717"
"Katwijk";"0537";"Holland-Rijnland";"524447"
"Kerkrade";"0928";"Zuid-Limburg";"602040"
"Koggenland";"1598";"Noord-Holland Noord";"646991"
"Kollumerland en Nieuwkruisland";"0079";"Friesland";"646324"
"Korendijk";"0588";"Rijnmond";"1346694"
"Krimpen aan den IJssel";"0542";"Rijnmond";"1346694"
"Krimpenerwaard";"1931";"Midden-Holland";"184129"
"Laarbeek";"1659";"Helmond-De Peel";"247028"
"Landerd";"1685";"Noordoost-Brabant";"602575"
"Landgraaf";"0882";"Zuid-Limburg";"602040"
"Landsmeer";"0415";"Zaanstreek/Waterland";"328233"
"Langedijk";"0416";"Noord-Holland Noord";"646991"
"Lansingerland";"1621";"Zuid-Holland Centraal";"358227"
"Laren";"0417";"Gooi en Vechtstreek";"255347"
"Leek";"0022";"Groningen";"740186"
"Leerdam";"0545";"Gorinchem";"141941"
"Leeuwarden";"0080";"Friesland";"646324"
"Leeuwarderadeel";"0081";"Friesland";"646324"
"Leiden";"0546";"Holland-Rijnland";"524447"
"Leiderdorp";"0547";"Holland-Rijnland";"524447"
"Leidschendam-Voorburg";"1916";"Zuid-Holland Centraal";"358227"
"Lelystad";"0995";"Flevoland";"379863"
"Leudal";"1640";"Midden-Limburg";"235466"
"Leusden";"0327";"Amersfoort";"325363"
"Lingewaal";"0733";"Gorinchem";"141941"
"Lingewaard";"1705";"Midden-Gelderland";"385090"
"Lisse";"0553";"Holland-Rijnland";"524447"
"Littenseradiel";"0140";"Friesland";"646324"
"Lochem";"0262";"Stedendriehoek en Noordwest Veluwe";"599134"
"Loon op Zand";"0809";"Midden-Brabant";"456009"
"Lopik";"0331";"Midden-Utrecht";"839900"
"Loppersum";"0024";"Groningen";"740186"
"Losser";"0168";"Twente";"626009"
"Maasdriel";"0263";"Rivierenland";"226436"
"Maasgouw";"1641";"Midden-Limburg";"235466"
"Maassluis";"0556";"Rijnmond";"1346694"
"Maastricht";"0935";"Zuid-Limburg";"602040"
"Marum";"0025";"Groningen";"740186"
"Medemblik";"0420";"Noord-Holland Noord";"646991"
"Meerssen";"0938";"Zuid-Limburg";"602040"
"Menameradiel";"1908";"Friesland";"646324"
"Menterwolde";"1987";"Groningen";"740186"
"Meppel";"0119";"IJsselvechtstreek";"503533"
"Middelburg";"0687";"Zeeland";"380717"
"Midden-Delfland";"1842";"Haaglanden";"786936"
"Midden-Drenthe";"1731";"Drenthe";"280644"
"Mill en Sint Hubert";"0815";"Noordoost-Brabant";"602575"
"Moerdijk";"1709";"West-Brabant";"678256"
"Molenwaard";"1927";"Gorinchem";"141941"
"Montferland";"1955";"Achterhoek";"297732"
"Montfoort";"0335";"Midden-Utrecht";"839900"
"Mook en Middelaar";"0944";"Rijk van Nijmegen";"313489"
"Neder-Betuwe";"1740";"Rivierenland";"226436"
"Nederweert";"0946";"Midden-Limburg";"235466"
"Neerijnen";"0304";"Rivierenland";"226436"
"Nieuwegein";"0356";"Midden-Utrecht";"839900"
"Nieuwkoop";"0569";"Holland-Rijnland";"524447"
"Nijkerk";"0267";"Amersfoort";"325363"
"Nijmegen";"0268";"Rijk van Nijmegen";"313489"
"Nissewaard";"1930";"Rijnmond";"1346694"
"Noord-Beveland";"1695";"Zeeland";"380717"
"Noordenveld";"1699";"Groningen";"740186"
"Noordoostpolder";"0171";"Flevoland";"379863"
"Noordwijk";"0575";"Holland-Rijnland";"524447"
"Noordwijkerhout";"0576";"Holland-Rijnland";"524447"
"Nuenen, Gerwen en Nederwetten";"0820";"Zuidoost-Brabant";"505457"
"Nunspeet";"0302";"Stedendriehoek en Noordwest Veluwe";"599134"
"Nuth";"0951";"Zuid-Limburg";"602040"
"Oegstgeest";"0579";"Holland-Rijnland";"524447"
"Oirschot";"0823";"Zuidoost-Brabant";"505457"
"Oisterwijk";"0824";"Midden-Brabant";"456009"
"Oldambt";"1895";"Groningen";"740186"
"Oldebroek";"0269";"IJsselvechtstreek";"503533"
"Oldenzaal";"0173";"Twente";"626009"
"Olst-Wijhe";"1773";"Stedendriehoek en Noordwest Veluwe";"599134"
"Ommen";"0175";"IJsselvechtstreek";"503533"
"Onderbanken";"0881";"Zuid-Limburg";"602040"
"Oost Gelre";"1586";"Achterhoek";"297732"
"Oosterhout";"0826";"West-Brabant";"678256"
"Ooststellingwerf";"0085";"Friesland";"646324"
"Oostzaan";"0431";"Zaanstreek/Waterland";"328233"
"Opmeer";"0432";"Noord-Holland Noord";"646991"
"Opsterland";"0086";"Friesland";"646324"
"Oss";"0828";"Noordoost-Brabant";"602575"
"Oud-Beijerland";"0584";"Rijnmond";"1346694"
"Oude IJsselstreek";"1509";"Achterhoek";"297732"
"Ouder-Amstel";"0437";"Groot Amsterdam";"1195580"
"Oudewater";"0589";"Midden-Utrecht";"839900"
"Overbetuwe";"1734";"Midden-Gelderland";"385090"
"Papendrecht";"0590";"Drechtsteden";"269492"
"Peel en Maas";"1894";"Noord-Limburg";"272786"
"Pekela";"0765";"Groningen";"740186"
"Pijnacker-Nootdorp";"1926";"Zuid-Holland Centraal";"358227"
"Purmerend";"0439";"Zaanstreek/Waterland";"328233"
"Putten";"0273";"Stedendriehoek en Noordwest Veluwe";"599134"
"Raalte";"0177";"IJsselvechtstreek";"503533"
"Reimerswaal";"0703";"Zeeland";"380717"
"Renkum";"0274";"Food Valley";"332683"
"Renswoude";"0339";"Food Valley";"332683"
"Reusel-De Mierden";"1667";"Zuidoost-Brabant";"505457"
"Rheden";"0275";"Midden-Gelderland";"385090"
"Rhenen";"0340";"Food Valley";"332683"
"Ridderkerk";"0597";"Rijnmond";"1346694"
"Rijnwaarden";"0196";"Midden-Gelderland";"385090"
"Rijssen-Holten";"1742";"Twente";"626009"
"Rijswijk";"0603";"Haaglanden";"786936"
"Roerdalen";"1669";"Midden-Limburg";"235466"
"Roermond";"0957";"Midden-Limburg";"235466"
"Roosendaal";"1674";"West-Brabant";"678256"
"Rotterdam";"0599";"Rijnmond";"1346694"
"Rozendaal";"0277";"Midden-Gelderland";"385090"
"Rucphen";"0840";"West-Brabant";"678256"
"Schagen";"0441";"Noord-Holland Noord";"646991"
"Scherpenzeel";"0279";"Food Valley";"332683"
"Schiedam";"0606";"Rijnmond";"1346694"
"Schiermonnikoog";"0088";"Friesland";"646324"
"Schijndel";"0844";"Noordoost-Brabant";"602575"
"Schinnen";"0962";"Zuid-Limburg";"602040"
"Schouwen-Duiveland";"1676";"Zeeland";"380717"
"Simpelveld";"0965";"Zuid-Limburg";"602040"
"Sint Anthonis";"1702";"Noordoost-Brabant";"602575"
"Sint-Michielsgestel";"0845";"Noordoost-Brabant";"602575"
"Sint-Oedenrode";"0846";"Noordoost-Brabant";"602575"
"Sittard-Geleen";"1883";"Zuid-Limburg";"602040"
"Sliedrecht";"0610";"Drechtsteden";"269492"
"Slochteren";"0040";"Groningen";"740186"
"Sluis";"1714";"Zeeland";"380717"
"Smallingerland";"0090";"Friesland";"646324"
"Soest";"0342";"Amersfoort";"325363"
"Someren";"0847";"Helmond-De Peel";"247028"
"Son en Breugel";"0848";"Zuidoost-Brabant";"505457"
"Stadskanaal";"0037";"Groningen";"740186"
"Staphorst";"0180";"IJsselvechtstreek";"503533"
"Stede Broec";"0532";"Noord-Holland Noord";"646991"
"Steenbergen";"0851";"West-Brabant";"678256"
"Steenwijkerland";"1708";"IJsselvechtstreek";"503533"
"Stein";"0971";"Zuid-Limburg";"602040"
"Stichtse Vecht";"1904";"Midden-Utrecht";"839900"
"Strijen";"0617";"Rijnmond";"1346694"
"Súdwest Fryslân";"1900";"Friesland";"646324"
"Ten Boer";"0009";"Groningen";"740186"
"Terneuzen";"0715";"Zeeland";"380717"
"Terschelling";"0093";"Friesland";"646324"
"Texel";"0448";"Noord-Holland Noord";"646991"
"Teylingen";"1525";"Holland-Rijnland";"524447"
"Tholen";"0716";"Zeeland";"380717"
"Tiel";"0281";"Rivierenland";"226436"
"Tilburg";"0855";"Midden-Brabant";"456009"
"Tubbergen";"0183";"Twente";"626009"
"Twenterand";"1700";"Twente";"626009"
"Tynaarlo";"1730";"Groningen";"740186"
"Tytsjerksteradiel";"0737";"Friesland";"646324"
"Uden";"0856";"Noordoost-Brabant";"602575"
"Uitgeest";"0450";"Zuid-Kennemerland en IJmond";"387409"
"Uithoorn";"0451";"Groot Amsterdam";"1195580"
"Urk";"0184";"Flevoland";"379863"
"Utrecht";"0344";"Midden-Utrecht";"839900"
"Utrechtse Heuvelrug";"1581";"Midden-Utrecht";"839900"
"Vaals";"0981";"Zuid-Limburg";"602040"
"Valkenburg aan de Geul";"0994";"Zuid-Limburg";"602040"
"Valkenswaard";"0858";"Zuidoost-Brabant";"505457"
"Veendam";"0047";"Groningen";"740186"
"Veenendaal";"0345";"Food Valley";"332683"
"Veere";"0717";"Zeeland";"380717"
"Veghel";"0860";"Noordoost-Brabant";"602575"
"Veldhoven";"0861";"Zuidoost-Brabant";"505457"
"Velsen";"0453";"Zuid-Kennemerland en IJmond";"387409"
"Venlo";"0983";"Noord-Limburg";"272786"
"Venray";"0984";"Noord-Limburg";"272786"
"Vianen";"0620";"Midden-Utrecht";"839900"
"Vlaardingen";"0622";"Rijnmond";"1346694"
"Vlagtwedde";"0048";"Groningen";"740186"
"Vlieland";"0096";"Friesland";"646324"
"Vlissingen";"0718";"Zeeland";"380717"
"Voerendaal";"0986";"Zuid-Limburg";"602040"
"Voorschoten";"0626";"Zuid-Holland Centraal";"358227"
"Voorst";"0285";"Stedendriehoek en Noordwest Veluwe";"599134"
"Vught";"0865";"Noordoost-Brabant";"602575"
"Waalre";"0866";"Zuidoost-Brabant";"505457"
"Waalwijk";"0867";"Midden-Brabant";"456009"
"Waddinxveen";"0627";"Midden-Holland";"184129"
"Wageningen";"0289";"Food Valley";"332683"
"Wassenaar";"0629";"Zuid-Holland Centraal";"358227"
"Waterland";"0852";"Zaanstreek/Waterland";"328233"
"Weert";"0988";"Midden-Limburg";"235466"
"Weesp";"0457";"Gooi en Vechtstreek";"255347"
"Werkendam";"0870";"West-Brabant";"678256"
"West Maas en Waal";"0668";"Rivierenland";"226436"
"Westerveld";"1701";"IJsselvechtstreek";"503533"
"Westervoort";"0293";"Midden-Gelderland";"385090"
"Westland";"1783";"Haaglanden";"786936"
"Weststellingwerf";"0098";"Friesland";"646324"
"Westvoorne";"0614";"Rijnmond";"1346694"
"Wierden";"0189";"Twente";"626009"
"Wijchen";"0296";"Rijk van Nijmegen";"313489"
"Wijdemeren";"1696";"Gooi en Vechtstreek";"255347"
"Wijk bij Duurstede";"0352";"Midden-Utrecht";"839900"
"Winsum";"0053";"Groningen";"740186"
"Winterswijk";"0294";"Achterhoek";"297732"
"Woensdrecht";"0873";"West-Brabant";"678256"
"Woerden";"0632";"Midden-Utrecht";"839900"
"Wormerland";"0880";"Zaanstreek/Waterland";"328233"
"Woudenberg";"0351";"Amersfoort";"325363"
"Woudrichem";"0874";"West-Brabant";"678256"
"Zaanstad";"0479";"Zaanstreek/Waterland";"328233"
"Zaltbommel";"0297";"Rivierenland";"226436"
"Zandvoort";"0473";"Zuid-Kennemerland en IJmond";"387409"
"Zederik";"0707";"Gorinchem";"141941"
"Zeewolde";"0050";"Stedendriehoek en Noordwest Veluwe";"599134"
"Zeist";"0355";"Midden-Utrecht";"839900"
"Zevenaar";"0299";"Midden-Gelderland";"385090"
"Zoetermeer";"0637";"Zuid-Holland Centraal";"358227"
"Zoeterwoude";"0638";"Holland-Rijnland";"524447"
"Zuidhorn";"0056";"Groningen";"740186"
"Zuidplas";"1892";"Rijnmond";"1346694"
"Zundert";"0879";"West-Brabant";"678256"
"Zutphen";"0301";"Stedendriehoek en Noordwest Veluwe";"599134"
"Zwartewaterland";"1896";"IJsselvechtstreek";"503533"
"Zwijndrecht";"0642";"Drechtsteden";"269492"
"Zwolle";"0193";"IJsselvechtstreek";"503533"