"Gemeente";"CBS";"RCF Kenniscentra Handhaving";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"RCF Noord";"1778664"
"Aalburg";"0738";"RCF Zuidwest Nederland";"1484621"
"Aalsmeer";"0358";"RCF Noord-Holland";"2515623"
"Aalten";"0197";"RCF Gelderland";"2026393"
"Achtkarspelen";"0059";"RCF Noord";"1778664"
"Alblasserdam";"0482";"RCF Rotterdam Rijnmond";"1764400"
"Albrandswaard";"0613";"RCF Rotterdam Rijnmond";"1764400"
"Alkmaar";"0361";"RCF Noord-Holland";"2515623"
"Almelo";"0141";"RCF Overijssel";"1081034"
"Almere";"0034";"RCF Midden Nederland";"1911552"
"Alphen aan den Rijn";"0484";"RCF Haaglanden-Hollands Midden";"1836384"
"Alphen-Chaam";"1723";"RCF Zuidwest Nederland";"1484621"
"Ameland";"0060";"RCF Noord";"1778664"
"Amersfoort";"0307";"RCF Midden Nederland";"1911552"
"Amstelveen";"0362";"RCF Noord-Holland";"2515623"
"Amsterdam";"0363";"RCF Noord-Holland";"2515623"
"Apeldoorn";"0200";"RCF Gelderland";"2026393"
"Appingedam";"0003";"RCF Noord";"1778664"
"Arnhem";"0202";"RCF Gelderland";"2026393"
"Assen";"0106";"RCF Noord";"1778664"
"Asten";"0743";"RCF Zuidoost Nederland";"2503475"
"Baarle-Nassau";"0744";"RCF Zuidwest Nederland";"1484621"
"Baarn";"0308";"RCF Midden Nederland";"1911552"
"Barendrecht";"0489";"RCF Rotterdam Rijnmond";"1764400"
"Barneveld";"0203";"RCF Gelderland";"2026393"
"Bedum";"0005";"RCF Noord";"1778664"
"Beek";"0888";"RCF Zuidoost Nederland";"2503475"
"Beemster";"0370";"RCF Noord-Holland";"2515623"
"Beesel";"0889";"RCF Zuidoost Nederland";"2503475"
"Bellingwedde";"0007";"RCF Noord";"1778664"
"Berg en Dal";"1945";"RCF Gelderland";"2026393"
"Bergeijk";"1724";"RCF Zuidoost Nederland";"2503475"
"Bergen (L)";"0893";"RCF Zuidoost Nederland";"2503475"
"Bergen (NH)";"0373";"RCF Noord-Holland";"2515623"
"Bergen op Zoom";"0748";"RCF Zuidwest Nederland";"1484621"
"Berkelland";"1859";"RCF Gelderland";"2026393"
"Bernheze";"1721";"RCF Zuidoost Nederland";"2503475"
"Best";"0753";"RCF Zuidoost Nederland";"2503475"
"Beuningen";"0209";"RCF Gelderland";"2026393"
"Beverwijk";"0375";"RCF Noord-Holland";"2515623"
"Binnenmaas";"0585";"RCF Rotterdam Rijnmond";"1764400"
"Bladel";"1728";"RCF Zuidoost Nederland";"2503475"
"Blaricum";"0376";"RCF Midden Nederland";"1911552"
"Bloemendaal";"0377";"RCF Noord-Holland";"2515623"
"Bodegraven-Reeuwijk";"1901";"RCF Haaglanden-Hollands Midden";"1836384"
"Boekel";"0755";"RCF Zuidoost Nederland";"2503475"
"Borger-Odoorn";"1681";"RCF Noord";"1778664"
"Borne";"0147";"RCF Overijssel";"1081034"
"Borsele";"0654";"RCF Zuidwest Nederland";"1484621"
"Boxmeer";"0756";"RCF Zuidoost Nederland";"2503475"
"Boxtel";"0757";"RCF Zuidoost Nederland";"2503475"
"Breda";"0758";"RCF Zuidwest Nederland";"1484621"
"Brielle";"0501";"RCF Rotterdam Rijnmond";"1764400"
"Bronckhorst";"1876";"RCF Gelderland";"2026393"
"Brummen";"0213";"RCF Gelderland";"2026393"
"Brunssum";"0899";"RCF Zuidoost Nederland";"2503475"
"Bunnik";"0312";"RCF Midden Nederland";"1911552"
"Bunschoten";"0313";"RCF Midden Nederland";"1911552"
"Buren";"0214";"RCF Gelderland";"2026393"
"Capelle aan den IJssel";"0502";"RCF Rotterdam Rijnmond";"1764400"
"Castricum";"0383";"RCF Noord-Holland";"2515623"
"Coevorden";"0109";"RCF Noord";"1778664"
"Cranendonck";"1706";"RCF Zuidoost Nederland";"2503475"
"Cromstrijen";"0611";"RCF Rotterdam Rijnmond";"1764400"
"Cuijk";"1684";"RCF Zuidoost Nederland";"2503475"
"Culemborg";"0216";"RCF Gelderland";"2026393"
"Dalfsen";"0148";"RCF Overijssel";"1081034"
"Dantumadiel";"1891";"RCF Noord";"1778664"
"De Bilt";"0310";"RCF Midden Nederland";"1911552"
"De Fryske Marren";"1940";"RCF Noord";"1778664"
"De Marne";"1663";"RCF Noord";"1778664"
"De Ronde Venen";"0736";"RCF Midden Nederland";"1911552"
"De Wolden";"1690";"RCF Noord";"1778664"
"Delft";"0503";"RCF Haaglanden-Hollands Midden";"1836384"
"Delfzijl";"0010";"RCF Noord";"1778664"
"Den Helder";"0400";"RCF Noord-Holland";"2515623"
"Deurne";"0762";"RCF Zuidoost Nederland";"2503475"
"Deventer";"0150";"RCF Overijssel";"1081034"
"Diemen";"0384";"RCF Noord-Holland";"2515623"
"Dinkelland";"1774";"RCF Overijssel";"1081034"
"Doesburg";"0221";"RCF Gelderland";"2026393"
"Doetinchem";"0222";"RCF Gelderland";"2026393"
"Dongen";"0766";"RCF Zuidwest Nederland";"1484621"
"Dongeradeel";"0058";"RCF Noord";"1778664"
"Dordrecht";"0505";"RCF Rotterdam Rijnmond";"1764400"
"Drechterland";"0498";"RCF Noord-Holland";"2515623"
"Drimmelen";"1719";"RCF Zuidwest Nederland";"1484621"
"Dronten";"0303";"RCF Midden Nederland";"1911552"
"Druten";"0225";"RCF Gelderland";"2026393"
"Duiven";"0226";"RCF Gelderland";"2026393"
"Echt-Susteren";"1711";"RCF Zuidoost Nederland";"2503475"
"Edam-Volendam";"0385";"RCF Noord-Holland";"2515623"
"Ede";"0228";"RCF Gelderland";"2026393"
"Eemnes";"0317";"RCF Midden Nederland";"1911552"
"Eemsmond";"1651";"RCF Noord";"1778664"
"Eersel";"0770";"RCF Zuidoost Nederland";"2503475"
"Eijsden-Margraten";"1903";"RCF Zuidoost Nederland";"2503475"
"Eindhoven";"0772";"RCF Zuidoost Nederland";"2503475"
"Elburg";"0230";"RCF Gelderland";"2026393"
"Emmen";"0114";"RCF Noord";"1778664"
"Enkhuizen";"0388";"RCF Noord-Holland";"2515623"
"Enschede";"0153";"RCF Overijssel";"1081034"
"Epe";"0232";"RCF Gelderland";"2026393"
"Ermelo";"0233";"RCF Gelderland";"2026393"
"Etten-Leur";"0777";"RCF Zuidwest Nederland";"1484621"
"Ferwerderadiel";"1722";"RCF Noord";"1778664"
"Franekeradeel";"0070";"RCF Noord";"1778664"
"Geertruidenberg";"0779";"RCF Zuidwest Nederland";"1484621"
"Geldermalsen";"0236";"RCF Gelderland";"2026393"
"Geldrop-Mierlo";"1771";"RCF Zuidoost Nederland";"2503475"
"Gemert-Bakel";"1652";"RCF Zuidoost Nederland";"2503475"
"Gennep";"0907";"RCF Zuidoost Nederland";"2503475"
"Giessenlanden";"0689";"RCF Rotterdam Rijnmond";"1764400"
"Gilze en Rijen";"0784";"RCF Zuidwest Nederland";"1484621"
"Goeree-Overflakkee";"1924";"RCF Rotterdam Rijnmond";"1764400"
"Goes";"0664";"RCF Zuidwest Nederland";"1484621"
"Goirle";"0785";"RCF Zuidwest Nederland";"1484621"
"Gooise Meren";"1942";"RCF Midden Nederland";"1911552"
"Gorinchem";"0512";"RCF Rotterdam Rijnmond";"1764400"
"Gouda";"0513";"RCF Haaglanden-Hollands Midden";"1836384"
"Grave";"0786";"RCF Zuidoost Nederland";"2503475"
"'s-Gravenhage";"0518";"RCF Haaglanden-Hollands Midden";"1836384"
"Groningen";"0014";"RCF Noord";"1778664"
"Grootegast";"0015";"RCF Noord";"1778664"
"Gulpen-Wittem";"1729";"RCF Zuidoost Nederland";"2503475"
"Haaksbergen";"0158";"RCF Overijssel";"1081034"
"Haaren";"0788";"RCF Zuidoost Nederland";"2503475"
"Haarlem";"0392";"RCF Noord-Holland";"2515623"
"Haarlemmerliede en Spaarnwoude";"0393";"RCF Noord-Holland";"2515623"
"Haarlemmermeer";"0394";"RCF Noord-Holland";"2515623"
"Halderberge";"1655";"RCF Zuidwest Nederland";"1484621"
"Hardenberg";"0160";"RCF Overijssel";"1081034"
"Harderwijk";"0243";"RCF Gelderland";"2026393"
"Hardinxveld-Giessendam";"0523";"RCF Rotterdam Rijnmond";"1764400"
"Haren";"0017";"RCF Noord";"1778664"
"Harlingen";"0072";"RCF Noord";"1778664"
"Hattem";"0244";"RCF Gelderland";"2026393"
"Heemskerk";"0396";"RCF Noord-Holland";"2515623"
"Heemstede";"0397";"RCF Noord-Holland";"2515623"
"Heerde";"0246";"RCF Gelderland";"2026393"
"Heerenveen";"0074";"RCF Noord";"1778664"
"Heerhugowaard";"0398";"RCF Noord-Holland";"2515623"
"Heerlen";"0917";"RCF Zuidoost Nederland";"2503475"
"Heeze-Leende";"1658";"RCF Zuidoost Nederland";"2503475"
"Heiloo";"0399";"RCF Noord-Holland";"2515623"
"Hellendoorn";"0163";"RCF Overijssel";"1081034"
"Hellevoetsluis";"0530";"RCF Rotterdam Rijnmond";"1764400"
"Helmond";"0794";"RCF Zuidoost Nederland";"2503475"
"Hendrik-Ido-Ambacht";"0531";"RCF Rotterdam Rijnmond";"1764400"
"Hengelo (O)";"0164";"RCF Overijssel";"1081034"
"'s-Hertogenbosch";"0796";"RCF Zuidoost Nederland";"2503475"
"het Bildt";"0063";"RCF Noord";"1778664"
"Heumen";"0252";"RCF Gelderland";"2026393"
"Heusden";"0797";"RCF Zuidoost Nederland";"2503475"
"Hillegom";"0534";"RCF Haaglanden-Hollands Midden";"1836384"
"Hilvarenbeek";"0798";"RCF Zuidwest Nederland";"1484621"
"Hilversum";"0402";"RCF Midden Nederland";"1911552"
"Hof van Twente";"1735";"RCF Overijssel";"1081034"
"Hollands Kroon";"1911";"RCF Noord-Holland";"2515623"
"Hoogeveen";"0118";"RCF Noord";"1778664"
"Hoogezand-Sappemeer";"0018";"RCF Noord";"1778664"
"Hoorn";"0405";"RCF Noord-Holland";"2515623"
"Horst aan de Maas";"1507";"RCF Zuidoost Nederland";"2503475"
"Houten";"0321";"RCF Midden Nederland";"1911552"
"Huizen";"0406";"RCF Midden Nederland";"1911552"
"Hulst";"0677";"RCF Zuidwest Nederland";"1484621"
"IJsselstein";"0353";"RCF Midden Nederland";"1911552"
"Kaag en Braassem";"1884";"RCF Haaglanden-Hollands Midden";"1836384"
"Kampen";"0166";"RCF Overijssel";"1081034"
"Kapelle";"0678";"RCF Zuidwest Nederland";"1484621"
"Katwijk";"0537";"RCF Haaglanden-Hollands Midden";"1836384"
"Kerkrade";"0928";"RCF Zuidoost Nederland";"2503475"
"Koggenland";"1598";"RCF Noord-Holland";"2515623"
"Kollumerland en Nieuwkruisland";"0079";"RCF Noord";"1778664"
"Korendijk";"0588";"RCF Rotterdam Rijnmond";"1764400"
"Krimpen aan den IJssel";"0542";"RCF Rotterdam Rijnmond";"1764400"
"Krimpenerwaard";"1931";"RCF Haaglanden-Hollands Midden";"1836384"
"Laarbeek";"1659";"RCF Zuidoost Nederland";"2503475"
"Landerd";"1685";"RCF Zuidoost Nederland";"2503475"
"Landgraaf";"0882";"RCF Zuidoost Nederland";"2503475"
"Landsmeer";"0415";"RCF Noord-Holland";"2515623"
"Langedijk";"0416";"RCF Noord-Holland";"2515623"
"Lansingerland";"1621";"RCF Rotterdam Rijnmond";"1764400"
"Laren";"0417";"RCF Midden Nederland";"1911552"
"Leek";"0022";"RCF Noord";"1778664"
"Leerdam";"0545";"RCF Rotterdam Rijnmond";"1764400"
"Leeuwarden";"0080";"RCF Noord";"1778664"
"Leeuwarderadeel";"0081";"RCF Noord";"1778664"
"Leiden";"0546";"RCF Haaglanden-Hollands Midden";"1836384"
"Leiderdorp";"0547";"RCF Haaglanden-Hollands Midden";"1836384"
"Leidschendam-Voorburg";"1916";"RCF Haaglanden-Hollands Midden";"1836384"
"Lelystad";"0995";"RCF Midden Nederland";"1911552"
"Leudal";"1640";"RCF Zuidoost Nederland";"2503475"
"Leusden";"0327";"RCF Midden Nederland";"1911552"
"Lingewaal";"0733";"RCF Gelderland";"2026393"
"Lingewaard";"1705";"RCF Gelderland";"2026393"
"Lisse";"0553";"RCF Haaglanden-Hollands Midden";"1836384"
"Littenseradiel";"0140";"RCF Noord";"1778664"
"Lochem";"0262";"RCF Gelderland";"2026393"
"Loon op Zand";"0809";"RCF Zuidwest Nederland";"1484621"
"Lopik";"0331";"RCF Midden Nederland";"1911552"
"Loppersum";"0024";"RCF Noord";"1778664"
"Losser";"0168";"RCF Overijssel";"1081034"
"Maasdriel";"0263";"RCF Gelderland";"2026393"
"Maasgouw";"1641";"RCF Zuidoost Nederland";"2503475"
"Maassluis";"0556";"RCF Rotterdam Rijnmond";"1764400"
"Maastricht";"0935";"RCF Zuidoost Nederland";"2503475"
"Marum";"0025";"RCF Noord";"1778664"
"Medemblik";"0420";"RCF Noord-Holland";"2515623"
"Meerssen";"0938";"RCF Zuidoost Nederland";"2503475"
"Menameradiel";"1908";"RCF Noord";"1778664"
"Menterwolde";"1987";"RCF Noord";"1778664"
"Meppel";"0119";"RCF Noord";"1778664"
"Middelburg";"0687";"RCF Zuidwest Nederland";"1484621"
"Midden-Delfland";"1842";"RCF Haaglanden-Hollands Midden";"1836384"
"Midden-Drenthe";"1731";"RCF Noord";"1778664"
"Mill en Sint Hubert";"0815";"RCF Zuidoost Nederland";"2503475"
"Moerdijk";"1709";"RCF Zuidwest Nederland";"1484621"
"Molenwaard";"1927";"RCF Rotterdam Rijnmond";"1764400"
"Montferland";"1955";"RCF Gelderland";"2026393"
"Montfoort";"0335";"RCF Midden Nederland";"1911552"
"Mook en Middelaar";"0944";"RCF Zuidoost Nederland";"2503475"
"Neder-Betuwe";"1740";"RCF Gelderland";"2026393"
"Nederweert";"0946";"RCF Zuidoost Nederland";"2503475"
"Neerijnen";"0304";"RCF Gelderland";"2026393"
"Nieuwegein";"0356";"RCF Midden Nederland";"1911552"
"Nieuwkoop";"0569";"RCF Haaglanden-Hollands Midden";"1836384"
"Nijkerk";"0267";"RCF Gelderland";"2026393"
"Nijmegen";"0268";"RCF Gelderland";"2026393"
"Nissewaard";"1930";"RCF Rotterdam Rijnmond";"1764400"
"Noord-Beveland";"1695";"RCF Zuidwest Nederland";"1484621"
"Noordenveld";"1699";"RCF Noord";"1778664"
"Noordoostpolder";"0171";"RCF Midden Nederland";"1911552"
"Noordwijk";"0575";"RCF Haaglanden-Hollands Midden";"1836384"
"Noordwijkerhout";"0576";"RCF Haaglanden-Hollands Midden";"1836384"
"Nuenen, Gerwen en Nederwetten";"0820";"RCF Zuidoost Nederland";"2503475"
"Nunspeet";"0302";"RCF Gelderland";"2026393"
"Nuth";"0951";"RCF Zuidoost Nederland";"2503475"
"Oegstgeest";"0579";"RCF Haaglanden-Hollands Midden";"1836384"
"Oirschot";"0823";"RCF Zuidoost Nederland";"2503475"
"Oisterwijk";"0824";"RCF Zuidwest Nederland";"1484621"
"Oldambt";"1895";"RCF Noord";"1778664"
"Oldebroek";"0269";"RCF Gelderland";"2026393"
"Oldenzaal";"0173";"RCF Overijssel";"1081034"
"Olst-Wijhe";"1773";"RCF Overijssel";"1081034"
"Ommen";"0175";"RCF Overijssel";"1081034"
"Onderbanken";"0881";"RCF Zuidoost Nederland";"2503475"
"Oost Gelre";"1586";"RCF Gelderland";"2026393"
"Oosterhout";"0826";"RCF Zuidwest Nederland";"1484621"
"Ooststellingwerf";"0085";"RCF Noord";"1778664"
"Oostzaan";"0431";"RCF Noord-Holland";"2515623"
"Opmeer";"0432";"RCF Noord-Holland";"2515623"
"Opsterland";"0086";"RCF Noord";"1778664"
"Oss";"0828";"RCF Zuidoost Nederland";"2503475"
"Oud-Beijerland";"0584";"RCF Rotterdam Rijnmond";"1764400"
"Oude IJsselstreek";"1509";"RCF Gelderland";"2026393"
"Ouder-Amstel";"0437";"RCF Noord-Holland";"2515623"
"Oudewater";"0589";"RCF Midden Nederland";"1911552"
"Overbetuwe";"1734";"RCF Gelderland";"2026393"
"Papendrecht";"0590";"RCF Rotterdam Rijnmond";"1764400"
"Peel en Maas";"1894";"RCF Zuidoost Nederland";"2503475"
"Pekela";"0765";"RCF Noord";"1778664"
"Pijnacker-Nootdorp";"1926";"RCF Haaglanden-Hollands Midden";"1836384"
"Purmerend";"0439";"RCF Noord-Holland";"2515623"
"Putten";"0273";"RCF Gelderland";"2026393"
"Raalte";"0177";"RCF Overijssel";"1081034"
"Reimerswaal";"0703";"RCF Zuidwest Nederland";"1484621"
"Renkum";"0274";"RCF Gelderland";"2026393"
"Renswoude";"0339";"RCF Midden Nederland";"1911552"
"Reusel-De Mierden";"1667";"RCF Zuidwest Nederland";"1484621"
"Rheden";"0275";"RCF Gelderland";"2026393"
"Rhenen";"0340";"RCF Midden Nederland";"1911552"
"Ridderkerk";"0597";"RCF Rotterdam Rijnmond";"1764400"
"Rijnwaarden";"0196";"RCF Gelderland";"2026393"
"Rijssen-Holten";"1742";"RCF Overijssel";"1081034"
"Rijswijk";"0603";"RCF Haaglanden-Hollands Midden";"1836384"
"Roerdalen";"1669";"RCF Zuidoost Nederland";"2503475"
"Roermond";"0957";"RCF Zuidoost Nederland";"2503475"
"Roosendaal";"1674";"RCF Zuidwest Nederland";"1484621"
"Rotterdam";"0599";"RCF Rotterdam Rijnmond";"1764400"
"Rozendaal";"0277";"RCF Gelderland";"2026393"
"Rucphen";"0840";"RCF Zuidwest Nederland";"1484621"
"Schagen";"0441";"RCF Noord-Holland";"2515623"
"Scherpenzeel";"0279";"RCF Gelderland";"2026393"
"Schiedam";"0606";"RCF Rotterdam Rijnmond";"1764400"
"Schiermonnikoog";"0088";"RCF Noord";"1778664"
"Schijndel";"0844";"RCF Zuidoost Nederland";"2503475"
"Schinnen";"0962";"RCF Zuidoost Nederland";"2503475"
"Schouwen-Duiveland";"1676";"RCF Zuidwest Nederland";"1484621"
"Simpelveld";"0965";"RCF Zuidoost Nederland";"2503475"
"Sint Anthonis";"1702";"RCF Zuidoost Nederland";"2503475"
"Sint-Michielsgestel";"0845";"RCF Zuidoost Nederland";"2503475"
"Sint-Oedenrode";"0846";"RCF Zuidoost Nederland";"2503475"
"Sittard-Geleen";"1883";"RCF Zuidoost Nederland";"2503475"
"Sliedrecht";"0610";"RCF Rotterdam Rijnmond";"1764400"
"Slochteren";"0040";"RCF Noord";"1778664"
"Sluis";"1714";"RCF Zuidwest Nederland";"1484621"
"Smallingerland";"0090";"RCF Noord";"1778664"
"Soest";"0342";"RCF Midden Nederland";"1911552"
"Someren";"0847";"RCF Zuidoost Nederland";"2503475"
"Son en Breugel";"0848";"RCF Zuidoost Nederland";"2503475"
"Stadskanaal";"0037";"RCF Noord";"1778664"
"Staphorst";"0180";"RCF Noord";"1778664"
"Stede Broec";"0532";"RCF Noord-Holland";"2515623"
"Steenbergen";"0851";"RCF Zuidwest Nederland";"1484621"
"Steenwijkerland";"1708";"RCF Noord";"1778664"
"Stein";"0971";"RCF Zuidoost Nederland";"2503475"
"Stichtse Vecht";"1904";"RCF Midden Nederland";"1911552"
"Strijen";"0617";"RCF Rotterdam Rijnmond";"1764400"
"Súdwest Fryslân";"1900";"RCF Noord";"1778664"
"Ten Boer";"0009";"RCF Noord";"1778664"
"Terneuzen";"0715";"RCF Zuidwest Nederland";"1484621"
"Terschelling";"0093";"RCF Noord";"1778664"
"Texel";"0448";"RCF Noord-Holland";"2515623"
"Teylingen";"1525";"RCF Haaglanden-Hollands Midden";"1836384"
"Tholen";"0716";"RCF Zuidwest Nederland";"1484621"
"Tiel";"0281";"RCF Gelderland";"2026393"
"Tilburg";"0855";"RCF Zuidwest Nederland";"1484621"
"Tubbergen";"0183";"RCF Overijssel";"1081034"
"Twenterand";"1700";"RCF Overijssel";"1081034"
"Tynaarlo";"1730";"RCF Noord";"1778664"
"Tytsjerksteradiel";"0737";"RCF Noord";"1778664"
"Uden";"0856";"RCF Zuidoost Nederland";"2503475"
"Uitgeest";"0450";"RCF Noord-Holland";"2515623"
"Uithoorn";"0451";"RCF Noord-Holland";"2515623"
"Urk";"0184";"RCF Midden Nederland";"1911552"
"Utrecht";"0344";"RCF Midden Nederland";"1911552"
"Utrechtse Heuvelrug";"1581";"RCF Midden Nederland";"1911552"
"Vaals";"0981";"RCF Zuidoost Nederland";"2503475"
"Valkenburg aan de Geul";"0994";"RCF Zuidoost Nederland";"2503475"
"Valkenswaard";"0858";"RCF Zuidoost Nederland";"2503475"
"Veendam";"0047";"RCF Noord";"1778664"
"Veenendaal";"0345";"RCF Midden Nederland";"1911552"
"Veere";"0717";"RCF Zuidwest Nederland";"1484621"
"Veghel";"0860";"RCF Zuidoost Nederland";"2503475"
"Veldhoven";"0861";"RCF Zuidoost Nederland";"2503475"
"Velsen";"0453";"RCF Noord-Holland";"2515623"
"Venlo";"0983";"RCF Zuidoost Nederland";"2503475"
"Venray";"0984";"RCF Zuidoost Nederland";"2503475"
"Vianen";"0620";"RCF Midden Nederland";"1911552"
"Vlaardingen";"0622";"RCF Rotterdam Rijnmond";"1764400"
"Vlagtwedde";"0048";"RCF Noord";"1778664"
"Vlieland";"0096";"RCF Noord";"1778664"
"Vlissingen";"0718";"RCF Zuidwest Nederland";"1484621"
"Voerendaal";"0986";"RCF Zuidoost Nederland";"2503475"
"Voorschoten";"0626";"RCF Haaglanden-Hollands Midden";"1836384"
"Voorst";"0285";"RCF Gelderland";"2026393"
"Vught";"0865";"RCF Zuidoost Nederland";"2503475"
"Waalre";"0866";"RCF Zuidoost Nederland";"2503475"
"Waalwijk";"0867";"RCF Zuidwest Nederland";"1484621"
"Waddinxveen";"0627";"RCF Haaglanden-Hollands Midden";"1836384"
"Wageningen";"0289";"RCF Gelderland";"2026393"
"Wassenaar";"0629";"RCF Haaglanden-Hollands Midden";"1836384"
"Waterland";"0852";"RCF Noord-Holland";"2515623"
"Weert";"0988";"RCF Zuidoost Nederland";"2503475"
"Weesp";"0457";"RCF Midden Nederland";"1911552"
"Werkendam";"0870";"RCF Zuidwest Nederland";"1484621"
"West Maas en Waal";"0668";"RCF Gelderland";"2026393"
"Westerveld";"1701";"RCF Noord";"1778664"
"Westervoort";"0293";"RCF Gelderland";"2026393"
"Westland";"1783";"RCF Haaglanden-Hollands Midden";"1836384"
"Weststellingwerf";"0098";"RCF Noord";"1778664"
"Westvoorne";"0614";"RCF Rotterdam Rijnmond";"1764400"
"Wierden";"0189";"RCF Overijssel";"1081034"
"Wijchen";"0296";"RCF Gelderland";"2026393"
"Wijdemeren";"1696";"RCF Midden Nederland";"1911552"
"Wijk bij Duurstede";"0352";"RCF Midden Nederland";"1911552"
"Winsum";"0053";"RCF Noord";"1778664"
"Winterswijk";"0294";"RCF Gelderland";"2026393"
"Woensdrecht";"0873";"RCF Zuidwest Nederland";"1484621"
"Woerden";"0632";"RCF Midden Nederland";"1911552"
"Wormerland";"0880";"RCF Noord-Holland";"2515623"
"Woudenberg";"0351";"RCF Midden Nederland";"1911552"
"Woudrichem";"0874";"RCF Zuidwest Nederland";"1484621"
"Zaanstad";"0479";"RCF Noord-Holland";"2515623"
"Zaltbommel";"0297";"RCF Gelderland";"2026393"
"Zandvoort";"0473";"RCF Noord-Holland";"2515623"
"Zederik";"0707";"RCF Rotterdam Rijnmond";"1764400"
"Zeewolde";"0050";"RCF Midden Nederland";"1911552"
"Zeist";"0355";"RCF Midden Nederland";"1911552"
"Zevenaar";"0299";"RCF Gelderland";"2026393"
"Zoetermeer";"0637";"RCF Haaglanden-Hollands Midden";"1836384"
"Zoeterwoude";"0638";"RCF Haaglanden-Hollands Midden";"1836384"
"Zuidhorn";"0056";"RCF Noord";"1778664"
"Zuidplas";"1892";"RCF Haaglanden-Hollands Midden";"1836384"
"Zundert";"0879";"RCF Zuidwest Nederland";"1484621"
"Zutphen";"0301";"RCF Gelderland";"2026393"
"Zwartewaterland";"1896";"RCF Overijssel";"1081034"
"Zwijndrecht";"0642";"RCF Rotterdam Rijnmond";"1764400"
"Zwolle";"0193";"RCF Overijssel";"1081034"