"Gemeente";"CBS";"WMO-regio's";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Drenthe";"488611"
"Aalburg";"0738";"West-Brabant";"694612"
"Aalsmeer";"0358";"Amsterdam-Amstelland";"1008808"
"Aalten";"0197";"Achterhoek";"297732"
"Achtkarspelen";"0059";"Friesland";"646324"
"Alblasserdam";"0482";"Drechtsteden";"269492"
"Albrandswaard";"0613";"Stadsregio Rijnmond";"1221301"
"Alkmaar";"0361";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Flevoland";"379863"
"Alphen aan den Rijn";"0484";"Holland-Rijnland";"524447"
"Alphen-Chaam";"1723";"West-Brabant";"694612"
"Ameland";"0060";"Friesland";"646324"
"Amersfoort";"0307";"Eemland";"325363"
"Amstelveen";"0362";"Amsterdam-Amstelland";"1008808"
"Amsterdam";"0363";"Amsterdam-Amstelland";"1008808"
"Apeldoorn";"0200";"Midden IJssel / Oost Veluwe";"345591"
"Appingedam";"0003";"Groningen";"584104"
"Arnhem";"0202";"Regio Arnhem";"416502"
"Assen";"0106";"Drenthe";"488611"
"Asten";"0743";"Peelregio";"208152"
"Baarle-Nassau";"0744";"West-Brabant";"694612"
"Baarn";"0308";"Eemland";"325363"
"Barendrecht";"0489";"Stadsregio Rijnmond";"1221301"
"Barneveld";"0203";"Food Valley";"301271"
"Bedum";"0005";"Groningen";"584104"
"Beek";"0888";"Zuid-Limburg";"602040"
"Beemster";"0370";"Zaanstreek-Waterland";"328233"
"Beesel";"0889";"Noord Limburg";"272786"
"Bellingwedde";"0007";"Groningen";"584104"
"Berg en Dal";"1945";"Regio Nijmegen";"313489"
"Bergeijk";"1724";"Zuid-Oost Brabant";"544333"
"Bergen (L)";"0893";"Noord Limburg";"272786"
"Bergen (NH)";"0373";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Bergen op Zoom";"0748";"West-Brabant";"694612"
"Berkelland";"1859";"Achterhoek";"297732"
"Bernheze";"1721";"Noord-Oost Brabant";"602575"
"Best";"0753";"Zuid-Oost Brabant";"544333"
"Beuningen";"0209";"Regio Nijmegen";"313489"
"Beverwijk";"0375";"Midden-Kennemerland (IJmond)";"146463"
"Binnenmaas";"0585";"Hoeksche Waard";"84635"
"Bladel";"1728";"Zuid-Oost Brabant";"544333"
"Blaricum";"0376";"Gooi- en Vechtstreek";"213825"
"Bloemendaal";"0377";"Zuid-Kennemerland";"227658"
"Bodegraven-Reeuwijk";"1901";"Midden-Holland";"224887"
"Boekel";"0755";"Noord-Oost Brabant";"602575"
"Borger-Odoorn";"1681";"Drenthe";"488611"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Noord-Oost Brabant";"602575"
"Boxtel";"0757";"Noord-Oost Brabant";"602575"
"Breda";"0758";"West-Brabant";"694612"
"Brielle";"0501";"Stadsregio Rijnmond";"1221301"
"Bronckhorst";"1876";"Achterhoek";"297732"
"Brummen";"0213";"Midden IJssel / Oost Veluwe";"345591"
"Brunssum";"0899";"Zuid-Limburg";"602040"
"Bunnik";"0312";"Zuid-Oost Utrecht";"189919"
"Bunschoten";"0313";"Eemland";"325363"
"Buren";"0214";"Rivierenland";"237518"
"Capelle aan den IJssel";"0502";"Stadsregio Rijnmond";"1221301"
"Castricum";"0383";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Coevorden";"0109";"Drenthe";"488611"
"Cranendonck";"1706";"Zuid-Oost Brabant";"544333"
"Cromstrijen";"0611";"Hoeksche Waard";"84635"
"Cuijk";"1684";"Noord-Oost Brabant";"602575"
"Culemborg";"0216";"Rivierenland";"237518"
"Dalfsen";"0148";"IJsselland";"514650"
"Dantumadiel";"1891";"Friesland";"646324"
"De Bilt";"0310";"Zuid-Oost Utrecht";"189919"
"De Fryske Marren";"1940";"Friesland";"646324"
"De Marne";"1663";"Groningen";"584104"
"De Ronde Venen";"0736";"Utrecht West";"222295"
"De Wolden";"1690";"Drenthe";"488611"
"Delft";"0503";"Stadsregio Haaglanden";"1145163"
"Delfzijl";"0010";"Groningen";"584104"
"Den Helder";"0400";"Kop van Noord-Holland";"163711"
"Deurne";"0762";"Peelregio";"208152"
"Deventer";"0150";"IJsselland";"514650"
"Diemen";"0384";"Amsterdam-Amstelland";"1008808"
"Dinkelland";"1774";"Twente";"626009"
"Doesburg";"0221";"Regio Arnhem";"416502"
"Doetinchem";"0222";"Achterhoek";"297732"
"Dongen";"0766";"Midden Brabant";"439653"
"Dongeradeel";"0058";"Friesland";"646324"
"Dordrecht";"0505";"Drechtsteden";"269492"
"Drechterland";"0498";"West-Friesland";"208394"
"Drimmelen";"1719";"West-Brabant";"694612"
"Dronten";"0303";"Flevoland";"379863"
"Druten";"0225";"Regio Nijmegen";"313489"
"Duiven";"0226";"Regio Arnhem";"416502"
"Echt-Susteren";"1711";"Midden Limburg";"235466"
"Edam-Volendam";"0385";"Zaanstreek-Waterland";"328233"
"Ede";"0228";"Food Valley";"301271"
"Eemnes";"0317";"Gooi- en Vechtstreek";"213825"
"Eemsmond";"1651";"Groningen";"584104"
"Eersel";"0770";"Zuid-Oost Brabant";"544333"
"Eijsden-Margraten";"1903";"Zuid-Limburg";"602040"
"Eindhoven";"0772";"Zuid-Oost Brabant";"544333"
"Elburg";"0230";"Noord Veluwe";"190541"
"Emmen";"0114";"Drenthe";"488611"
"Enkhuizen";"0388";"West-Friesland";"208394"
"Enschede";"0153";"Twente";"626009"
"Epe";"0232";"Midden IJssel / Oost Veluwe";"345591"
"Ermelo";"0233";"Noord Veluwe";"190541"
"Etten-Leur";"0777";"West-Brabant";"694612"
"Ferwerderadiel";"1722";"Friesland";"646324"
"Franekeradeel";"0070";"Friesland";"646324"
"Geertruidenberg";"0779";"West-Brabant";"694612"
"Geldermalsen";"0236";"Rivierenland";"237518"
"Geldrop-Mierlo";"1771";"Zuid-Oost Brabant";"544333"
"Gemert-Bakel";"1652";"Peelregio";"208152"
"Gennep";"0907";"Noord Limburg";"272786"
"Giessenlanden";"0689";"Alblasserwaard-Vijfheerenlanden";"130859"
"Gilze en Rijen";"0784";"Midden Brabant";"439653"
"Goeree-Overflakkee";"1924";"Stadsregio Rijnmond";"1221301"
"Goes";"0664";"Zeeland";"380717"
"Goirle";"0785";"Midden Brabant";"439653"
"Gooise Meren";"1942";"Gooi- en Vechtstreek";"213825"
"Gorinchem";"0512";"Alblasserwaard-Vijfheerenlanden";"130859"
"Gouda";"0513";"Midden-Holland";"224887"
"Grave";"0786";"Noord-Oost Brabant";"602575"
"'s-Gravenhage";"0518";"Stadsregio Haaglanden";"1145163"
"Groningen";"0014";"Groningen";"584104"
"Grootegast";"0015";"Groningen";"584104"
"Gulpen-Wittem";"1729";"Zuid-Limburg";"602040"
"Haaksbergen";"0158";"Twente";"626009"
"Haaren";"0788";"Noord-Oost Brabant";"602575"
"Haarlem";"0392";"Zuid-Kennemerland";"227658"
"Haarlemmerliede en Spaarnwoude";"0393";"Zuid-Kennemerland";"227658"
"Haarlemmermeer";"0394";"Haarlemmermeer";"144182"
"Halderberge";"1655";"West-Brabant";"694612"
"Hardenberg";"0160";"IJsselland";"514650"
"Harderwijk";"0243";"Noord Veluwe";"190541"
"Hardinxveld-Giessendam";"0523";"Alblasserwaard-Vijfheerenlanden";"130859"
"Haren";"0017";"Groningen";"584104"
"Harlingen";"0072";"Friesland";"646324"
"Hattem";"0244";"Midden IJssel / Oost Veluwe";"345591"
"Heemskerk";"0396";"Midden-Kennemerland (IJmond)";"146463"
"Heemstede";"0397";"Zuid-Kennemerland";"227658"
"Heerde";"0246";"Midden IJssel / Oost Veluwe";"345591"
"Heerenveen";"0074";"Friesland";"646324"
"Heerhugowaard";"0398";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Heerlen";"0917";"Zuid-Limburg";"602040"
"Heeze-Leende";"1658";"Zuid-Oost Brabant";"544333"
"Heiloo";"0399";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Hellendoorn";"0163";"Twente";"626009"
"Hellevoetsluis";"0530";"Stadsregio Rijnmond";"1221301"
"Helmond";"0794";"Peelregio";"208152"
"Hendrik-Ido-Ambacht";"0531";"Drechtsteden";"269492"
"Hengelo (O)";"0164";"Twente";"626009"
"'s-Hertogenbosch";"0796";"Noord-Oost Brabant";"602575"
"het Bildt";"0063";"Friesland";"646324"
"Heumen";"0252";"Regio Nijmegen";"313489"
"Heusden";"0797";"Midden Brabant";"439653"
"Hillegom";"0534";"Holland-Rijnland";"524447"
"Hilvarenbeek";"0798";"Midden Brabant";"439653"
"Hilversum";"0402";"Gooi- en Vechtstreek";"213825"
"Hof van Twente";"1735";"Twente";"626009"
"Hollands Kroon";"1911";"Kop van Noord-Holland";"163711"
"Hoogeveen";"0118";"Drenthe";"488611"
"Hoogezand-Sappemeer";"0018";"Groningen";"584104"
"Hoorn";"0405";"West-Friesland";"208394"
"Horst aan de Maas";"1507";"Noord Limburg";"272786"
"Houten";"0321";"Lekstroom";"177659"
"Huizen";"0406";"Gooi- en Vechtstreek";"213825"
"Hulst";"0677";"Zeeland";"380717"
"IJsselstein";"0353";"Lekstroom";"177659"
"Kaag en Braassem";"1884";"Holland-Rijnland";"524447"
"Kampen";"0166";"IJsselland";"514650"
"Kapelle";"0678";"Zeeland";"380717"
"Katwijk";"0537";"Holland-Rijnland";"524447"
"Kerkrade";"0928";"Zuid-Limburg";"602040"
"Koggenland";"1598";"West-Friesland";"208394"
"Kollumerland en Nieuwkruisland";"0079";"Friesland";"646324"
"Korendijk";"0588";"Hoeksche Waard";"84635"
"Krimpen aan den IJssel";"0542";"Stadsregio Rijnmond";"1221301"
"Krimpenerwaard";"1931";"Midden-Holland";"224887"
"Laarbeek";"1659";"Peelregio";"208152"
"Landerd";"1685";"Noord-Oost Brabant";"602575"
"Landgraaf";"0882";"Zuid-Limburg";"602040"
"Landsmeer";"0415";"Zaanstreek-Waterland";"328233"
"Langedijk";"0416";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Lansingerland";"1621";"Stadsregio Haaglanden";"1145163"
"Laren";"0417";"Gooi- en Vechtstreek";"213825"
"Leek";"0022";"Groningen";"584104"
"Leerdam";"0545";"Alblasserwaard-Vijfheerenlanden";"130859"
"Leeuwarden";"0080";"Friesland";"646324"
"Leeuwarderadeel";"0081";"Friesland";"646324"
"Leiden";"0546";"Holland-Rijnland";"524447"
"Leiderdorp";"0547";"Holland-Rijnland";"524447"
"Leidschendam-Voorburg";"1916";"Stadsregio Haaglanden";"1145163"
"Lelystad";"0995";"Flevoland";"379863"
"Leudal";"1640";"Midden Limburg";"235466"
"Leusden";"0327";"Eemland";"325363"
"Lingewaal";"0733";"Rivierenland";"237518"
"Lingewaard";"1705";"Regio Arnhem";"416502"
"Lisse";"0553";"Holland-Rijnland";"524447"
"Littenseradiel";"0140";"Friesland";"646324"
"Lochem";"0262";"Midden IJssel / Oost Veluwe";"345591"
"Loon op Zand";"0809";"Midden Brabant";"439653"
"Lopik";"0331";"Lekstroom";"177659"
"Loppersum";"0024";"Groningen";"584104"
"Losser";"0168";"Twente";"626009"
"Maasdriel";"0263";"Rivierenland";"237518"
"Maasgouw";"1641";"Midden Limburg";"235466"
"Maassluis";"0556";"Stadsregio Rijnmond";"1221301"
"Maastricht";"0935";"Zuid-Limburg";"602040"
"Marum";"0025";"Groningen";"584104"
"Medemblik";"0420";"West-Friesland";"208394"
"Meerssen";"0938";"Zuid-Limburg";"602040"
"Menameradiel";"1908";"Friesland";"646324"
"Menterwolde";"1987";"Groningen";"584104"
"Meppel";"0119";"Drenthe";"488611"
"Middelburg";"0687";"Zeeland";"380717"
"Midden-Delfland";"1842";"Stadsregio Haaglanden";"1145163"
"Midden-Drenthe";"1731";"Drenthe";"488611"
"Mill en Sint Hubert";"0815";"Noord-Oost Brabant";"602575"
"Moerdijk";"1709";"West-Brabant";"694612"
"Molenwaard";"1927";"Alblasserwaard-Vijfheerenlanden";"130859"
"Montferland";"1955";"Achterhoek";"297732"
"Montfoort";"0335";"Utrecht West";"222295"
"Mook en Middelaar";"0944";"Regio Nijmegen";"313489"
"Neder-Betuwe";"1740";"Rivierenland";"237518"
"Nederweert";"0946";"Midden Limburg";"235466"
"Neerijnen";"0304";"Rivierenland";"237518"
"Nieuwegein";"0356";"Lekstroom";"177659"
"Nieuwkoop";"0569";"Holland-Rijnland";"524447"
"Nijkerk";"0267";"Eemland";"325363"
"Nijmegen";"0268";"Regio Nijmegen";"313489"
"Nissewaard";"1930";"Stadsregio Rijnmond";"1221301"
"Noord-Beveland";"1695";"Zeeland";"380717"
"Noordenveld";"1699";"Drenthe";"488611"
"Noordoostpolder";"0171";"Flevoland";"379863"
"Noordwijk";"0575";"Holland-Rijnland";"524447"
"Noordwijkerhout";"0576";"Holland-Rijnland";"524447"
"Nuenen, Gerwen en Nederwetten";"0820";"Zuid-Oost Brabant";"544333"
"Nunspeet";"0302";"Noord Veluwe";"190541"
"Nuth";"0951";"Zuid-Limburg";"602040"
"Oegstgeest";"0579";"Holland-Rijnland";"524447"
"Oirschot";"0823";"Zuid-Oost Brabant";"544333"
"Oisterwijk";"0824";"Midden Brabant";"439653"
"Oldambt";"1895";"Groningen";"584104"
"Oldebroek";"0269";"Noord Veluwe";"190541"
"Oldenzaal";"0173";"Twente";"626009"
"Olst-Wijhe";"1773";"IJsselland";"514650"
"Ommen";"0175";"IJsselland";"514650"
"Onderbanken";"0881";"Zuid-Limburg";"602040"
"Oost Gelre";"1586";"Achterhoek";"297732"
"Oosterhout";"0826";"West-Brabant";"694612"
"Ooststellingwerf";"0085";"Friesland";"646324"
"Oostzaan";"0431";"Zaanstreek-Waterland";"328233"
"Opmeer";"0432";"West-Friesland";"208394"
"Opsterland";"0086";"Friesland";"646324"
"Oss";"0828";"Noord-Oost Brabant";"602575"
"Oud-Beijerland";"0584";"Hoeksche Waard";"84635"
"Oude IJsselstreek";"1509";"Achterhoek";"297732"
"Ouder-Amstel";"0437";"Amsterdam-Amstelland";"1008808"
"Oudewater";"0589";"Utrecht West";"222295"
"Overbetuwe";"1734";"Regio Arnhem";"416502"
"Papendrecht";"0590";"Drechtsteden";"269492"
"Peel en Maas";"1894";"Noord Limburg";"272786"
"Pekela";"0765";"Groningen";"584104"
"Pijnacker-Nootdorp";"1926";"Stadsregio Haaglanden";"1145163"
"Purmerend";"0439";"Zaanstreek-Waterland";"328233"
"Putten";"0273";"Noord Veluwe";"190541"
"Raalte";"0177";"IJsselland";"514650"
"Reimerswaal";"0703";"Zeeland";"380717"
"Renkum";"0274";"Regio Arnhem";"416502"
"Renswoude";"0339";"Food Valley";"301271"
"Reusel-De Mierden";"1667";"Zuid-Oost Brabant";"544333"
"Rheden";"0275";"Regio Arnhem";"416502"
"Rhenen";"0340";"Food Valley";"301271"
"Ridderkerk";"0597";"Stadsregio Rijnmond";"1221301"
"Rijnwaarden";"0196";"Regio Arnhem";"416502"
"Rijssen-Holten";"1742";"Twente";"626009"
"Rijswijk";"0603";"Stadsregio Haaglanden";"1145163"
"Roerdalen";"1669";"Midden Limburg";"235466"
"Roermond";"0957";"Midden Limburg";"235466"
"Roosendaal";"1674";"West-Brabant";"694612"
"Rotterdam";"0599";"Stadsregio Rijnmond";"1221301"
"Rozendaal";"0277";"Regio Arnhem";"416502"
"Rucphen";"0840";"West-Brabant";"694612"
"Schagen";"0441";"Kop van Noord-Holland";"163711"
"Scherpenzeel";"0279";"Food Valley";"301271"
"Schiedam";"0606";"Stadsregio Rijnmond";"1221301"
"Schiermonnikoog";"0088";"Friesland";"646324"
"Schijndel";"0844";"Noord-Oost Brabant";"602575"
"Schinnen";"0962";"Zuid-Limburg";"602040"
"Schouwen-Duiveland";"1676";"Zeeland";"380717"
"Simpelveld";"0965";"Zuid-Limburg";"602040"
"Sint Anthonis";"1702";"Noord-Oost Brabant";"602575"
"Sint-Michielsgestel";"0845";"Noord-Oost Brabant";"602575"
"Sint-Oedenrode";"0846";"Noord-Oost Brabant";"602575"
"Sittard-Geleen";"1883";"Zuid-Limburg";"602040"
"Sliedrecht";"0610";"Drechtsteden";"269492"
"Slochteren";"0040";"Groningen";"584104"
"Sluis";"1714";"Zeeland";"380717"
"Smallingerland";"0090";"Friesland";"646324"
"Soest";"0342";"Eemland";"325363"
"Someren";"0847";"Peelregio";"208152"
"Son en Breugel";"0848";"Zuid-Oost Brabant";"544333"
"Stadskanaal";"0037";"Groningen";"584104"
"Staphorst";"0180";"IJsselland";"514650"
"Stede Broec";"0532";"West-Friesland";"208394"
"Steenbergen";"0851";"West-Brabant";"694612"
"Steenwijkerland";"1708";"IJsselland";"514650"
"Stein";"0971";"Zuid-Limburg";"602040"
"Stichtse Vecht";"1904";"Utrecht West";"222295"
"Strijen";"0617";"Hoeksche Waard";"84635"
"Súdwest Fryslân";"1900";"Friesland";"646324"
"Ten Boer";"0009";"Groningen";"584104"
"Terneuzen";"0715";"Zeeland";"380717"
"Terschelling";"0093";"Friesland";"646324"
"Texel";"0448";"Kop van Noord-Holland";"163711"
"Teylingen";"1525";"Holland-Rijnland";"524447"
"Tholen";"0716";"Zeeland";"380717"
"Tiel";"0281";"Rivierenland";"237518"
"Tilburg";"0855";"Midden Brabant";"439653"
"Tubbergen";"0183";"Twente";"626009"
"Twenterand";"1700";"Twente";"626009"
"Tynaarlo";"1730";"Drenthe";"488611"
"Tytsjerksteradiel";"0737";"Friesland";"646324"
"Uden";"0856";"Noord-Oost Brabant";"602575"
"Uitgeest";"0450";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Uithoorn";"0451";"Amsterdam-Amstelland";"1008808"
"Urk";"0184";"Flevoland";"379863"
"Utrecht";"0344";"Utrecht Stad";"334139"
"Utrechtse Heuvelrug";"1581";"Zuid-Oost Utrecht";"189919"
"Vaals";"0981";"Zuid-Limburg";"602040"
"Valkenburg aan de Geul";"0994";"Zuid-Limburg";"602040"
"Valkenswaard";"0858";"Zuid-Oost Brabant";"544333"
"Veendam";"0047";"Groningen";"584104"
"Veenendaal";"0345";"Food Valley";"301271"
"Veere";"0717";"Zeeland";"380717"
"Veghel";"0860";"Noord-Oost Brabant";"602575"
"Veldhoven";"0861";"Zuid-Oost Brabant";"544333"
"Velsen";"0453";"Midden-Kennemerland (IJmond)";"146463"
"Venlo";"0983";"Noord Limburg";"272786"
"Venray";"0984";"Noord Limburg";"272786"
"Vianen";"0620";"Lekstroom";"177659"
"Vlaardingen";"0622";"Stadsregio Rijnmond";"1221301"
"Vlagtwedde";"0048";"Groningen";"584104"
"Vlieland";"0096";"Friesland";"646324"
"Vlissingen";"0718";"Zeeland";"380717"
"Voerendaal";"0986";"Zuid-Limburg";"602040"
"Voorschoten";"0626";"Stadsregio Haaglanden";"1145163"
"Voorst";"0285";"Midden IJssel / Oost Veluwe";"345591"
"Vught";"0865";"Noord-Oost Brabant";"602575"
"Waalre";"0866";"Zuid-Oost Brabant";"544333"
"Waalwijk";"0867";"Midden Brabant";"439653"
"Waddinxveen";"0627";"Midden-Holland";"224887"
"Wageningen";"0289";"Food Valley";"301271"
"Wassenaar";"0629";"Stadsregio Haaglanden";"1145163"
"Waterland";"0852";"Zaanstreek-Waterland";"328233"
"Weert";"0988";"Midden Limburg";"235466"
"Weesp";"0457";"Utrecht West";"222295"
"Werkendam";"0870";"West-Brabant";"694612"
"West Maas en Waal";"0668";"Rivierenland";"237518"
"Westerveld";"1701";"Drenthe";"488611"
"Westervoort";"0293";"Regio Arnhem";"416502"
"Westland";"1783";"Stadsregio Haaglanden";"1145163"
"Weststellingwerf";"0098";"Friesland";"646324"
"Westvoorne";"0614";"Stadsregio Rijnmond";"1221301"
"Wierden";"0189";"Twente";"626009"
"Wijchen";"0296";"Regio Nijmegen";"313489"
"Wijdemeren";"1696";"Utrecht West";"222295"
"Wijk bij Duurstede";"0352";"Zuid-Oost Utrecht";"189919"
"Winsum";"0053";"Groningen";"584104"
"Winterswijk";"0294";"Achterhoek";"297732"
"Woensdrecht";"0873";"West-Brabant";"694612"
"Woerden";"0632";"Utrecht West";"222295"
"Wormerland";"0880";"Zaanstreek-Waterland";"328233"
"Woudenberg";"0351";"Eemland";"325363"
"Woudrichem";"0874";"West-Brabant";"694612"
"Zaanstad";"0479";"Zaanstreek-Waterland";"328233"
"Zaltbommel";"0297";"Rivierenland";"237518"
"Zandvoort";"0473";"Zuid-Kennemerland";"227658"
"Zederik";"0707";"Alblasserwaard-Vijfheerenlanden";"130859"
"Zeewolde";"0050";"Noord Veluwe";"190541"
"Zeist";"0355";"Zuid-Oost Utrecht";"189919"
"Zevenaar";"0299";"Regio Arnhem";"416502"
"Zoetermeer";"0637";"Stadsregio Haaglanden";"1145163"
"Zoeterwoude";"0638";"Holland-Rijnland";"524447"
"Zuidhorn";"0056";"Groningen";"584104"
"Zuidplas";"1892";"Midden-Holland";"224887"
"Zundert";"0879";"West-Brabant";"694612"
"Zutphen";"0301";"Midden IJssel / Oost Veluwe";"345591"
"Zwartewaterland";"1896";"IJsselland";"514650"
"Zwijndrecht";"0642";"Drechtsteden";"269492"
"Zwolle";"0193";"IJsselland";"514650"