"Gemeente";"CBS";"Veiligheidsregio's";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Drenthe";"488611"
"Aalburg";"0738";"Midden- en West-Brabant";"1091129"
"Aalsmeer";"0358";"Amsterdam-Amstelland";"1008808"
"Aalten";"0197";"Noord- en Oost-Gelderland";"812224"
"Achtkarspelen";"0059";"Fryslân";"646324"
"Alblasserdam";"0482";"Zuid-Holland-Zuid";"484986"
"Albrandswaard";"0613";"Rotterdam-Rijnmond";"1279414"
"Alkmaar";"0361";"Noord-Holland-Noord";"646991"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Flevoland";"401503"
"Alphen aan den Rijn";"0484";"Hollands-Midden";"774476"
"Alphen-Chaam";"1723";"Midden- en West-Brabant";"1091129"
"Ameland";"0060";"Fryslân";"646324"
"Amersfoort";"0307";"Utrecht";"1263509"
"Amstelveen";"0362";"Amsterdam-Amstelland";"1008808"
"Amsterdam";"0363";"Amsterdam-Amstelland";"1008808"
"Apeldoorn";"0200";"Noord- en Oost-Gelderland";"812224"
"Appingedam";"0003";"Groningen";"584104"
"Arnhem";"0202";"Gelderland-Midden";"670924"
"Assen";"0106";"Drenthe";"488611"
"Asten";"0743";"Brabant-Zuidoost";"752485"
"Baarle-Nassau";"0744";"Midden- en West-Brabant";"1091129"
"Baarn";"0308";"Utrecht";"1263509"
"Barendrecht";"0489";"Rotterdam-Rijnmond";"1279414"
"Barneveld";"0203";"Gelderland-Midden";"670924"
"Bedum";"0005";"Groningen";"584104"
"Beek";"0888";"Limburg-Zuid";"602040"
"Beemster";"0370";"Zaanstreek-Waterland";"328233"
"Beesel";"0889";"Limburg-Noord";"516014"
"Bellingwedde";"0007";"Groningen";"584104"
"Berg en Dal";"1945";"Gelderland-Zuid";"543245"
"Bergeijk";"1724";"Brabant-Zuidoost";"752485"
"Bergen (L)";"0893";"Limburg-Noord";"516014"
"Bergen (NH)";"0373";"Noord-Holland-Noord";"646991"
"Bergen op Zoom";"0748";"Midden- en West-Brabant";"1091129"
"Berkelland";"1859";"Noord- en Oost-Gelderland";"812224"
"Bernheze";"1721";"Brabant-Noord";"645711"
"Best";"0753";"Brabant-Zuidoost";"752485"
"Beuningen";"0209";"Gelderland-Zuid";"543245"
"Beverwijk";"0375";"Kennemerland";"531591"
"Binnenmaas";"0585";"Zuid-Holland-Zuid";"484986"
"Bladel";"1728";"Brabant-Zuidoost";"752485"
"Blaricum";"0376";"Gooi en Vechtstreek";"246540"
"Bloemendaal";"0377";"Kennemerland";"531591"
"Bodegraven-Reeuwijk";"1901";"Hollands-Midden";"774476"
"Boekel";"0755";"Brabant-Noord";"645711"
"Borger-Odoorn";"1681";"Drenthe";"488611"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Brabant-Noord";"645711"
"Boxtel";"0757";"Brabant-Noord";"645711"
"Breda";"0758";"Midden- en West-Brabant";"1091129"
"Brielle";"0501";"Rotterdam-Rijnmond";"1279414"
"Bronckhorst";"1876";"Noord- en Oost-Gelderland";"812224"
"Brummen";"0213";"Noord- en Oost-Gelderland";"812224"
"Brunssum";"0899";"Limburg-Zuid";"602040"
"Bunnik";"0312";"Utrecht";"1263509"
"Bunschoten";"0313";"Utrecht";"1263509"
"Buren";"0214";"Gelderland-Zuid";"543245"
"Capelle aan den IJssel";"0502";"Rotterdam-Rijnmond";"1279414"
"Castricum";"0383";"Noord-Holland-Noord";"646991"
"Coevorden";"0109";"Drenthe";"488611"
"Cranendonck";"1706";"Brabant-Zuidoost";"752485"
"Cromstrijen";"0611";"Zuid-Holland-Zuid";"484986"
"Cuijk";"1684";"Brabant-Noord";"645711"
"Culemborg";"0216";"Gelderland-Zuid";"543245"
"Dalfsen";"0148";"IJsselland";"514650"
"Dantumadiel";"1891";"Fryslân";"646324"
"De Bilt";"0310";"Utrecht";"1263509"
"De Fryske Marren";"1940";"Fryslân";"646324"
"De Marne";"1663";"Groningen";"584104"
"De Ronde Venen";"0736";"Utrecht";"1263509"
"De Wolden";"1690";"Drenthe";"488611"
"Delft";"0503";"Haaglanden";"1061908"
"Delfzijl";"0010";"Groningen";"584104"
"Den Helder";"0400";"Noord-Holland-Noord";"646991"
"Deurne";"0762";"Brabant-Zuidoost";"752485"
"Deventer";"0150";"IJsselland";"514650"
"Diemen";"0384";"Amsterdam-Amstelland";"1008808"
"Dinkelland";"1774";"Twente";"626009"
"Doesburg";"0221";"Gelderland-Midden";"670924"
"Doetinchem";"0222";"Noord- en Oost-Gelderland";"812224"
"Dongen";"0766";"Midden- en West-Brabant";"1091129"
"Dongeradeel";"0058";"Fryslân";"646324"
"Dordrecht";"0505";"Zuid-Holland-Zuid";"484986"
"Drechterland";"0498";"Noord-Holland-Noord";"646991"
"Drimmelen";"1719";"Midden- en West-Brabant";"1091129"
"Dronten";"0303";"Flevoland";"401503"
"Druten";"0225";"Gelderland-Zuid";"543245"
"Duiven";"0226";"Gelderland-Midden";"670924"
"Echt-Susteren";"1711";"Limburg-Noord";"516014"
"Edam-Volendam";"0385";"Zaanstreek-Waterland";"328233"
"Ede";"0228";"Gelderland-Midden";"670924"
"Eemnes";"0317";"Utrecht";"1263509"
"Eemsmond";"1651";"Groningen";"584104"
"Eersel";"0770";"Brabant-Zuidoost";"752485"
"Eijsden-Margraten";"1903";"Limburg-Zuid";"602040"
"Eindhoven";"0772";"Brabant-Zuidoost";"752485"
"Elburg";"0230";"Noord- en Oost-Gelderland";"812224"
"Emmen";"0114";"Drenthe";"488611"
"Enkhuizen";"0388";"Noord-Holland-Noord";"646991"
"Enschede";"0153";"Twente";"626009"
"Epe";"0232";"Noord- en Oost-Gelderland";"812224"
"Ermelo";"0233";"Noord- en Oost-Gelderland";"812224"
"Etten-Leur";"0777";"Midden- en West-Brabant";"1091129"
"Ferwerderadiel";"1722";"Fryslân";"646324"
"Franekeradeel";"0070";"Fryslân";"646324"
"Geertruidenberg";"0779";"Midden- en West-Brabant";"1091129"
"Geldermalsen";"0236";"Gelderland-Zuid";"543245"
"Geldrop-Mierlo";"1771";"Brabant-Zuidoost";"752485"
"Gemert-Bakel";"1652";"Brabant-Zuidoost";"752485"
"Gennep";"0907";"Limburg-Noord";"516014"
"Giessenlanden";"0689";"Zuid-Holland-Zuid";"484986"
"Gilze en Rijen";"0784";"Midden- en West-Brabant";"1091129"
"Goeree-Overflakkee";"1924";"Rotterdam-Rijnmond";"1279414"
"Goes";"0664";"Zeeland";"380717"
"Goirle";"0785";"Midden- en West-Brabant";"1091129"
"Gooise Meren";"1942";"Gooi en Vechtstreek";"246540"
"Gorinchem";"0512";"Zuid-Holland-Zuid";"484986"
"Gouda";"0513";"Hollands-Midden";"774476"
"Grave";"0786";"Brabant-Noord";"645711"
"'s-Gravenhage";"0518";"Haaglanden";"1061908"
"Groningen";"0014";"Groningen";"584104"
"Grootegast";"0015";"Groningen";"584104"
"Gulpen-Wittem";"1729";"Limburg-Zuid";"602040"
"Haaksbergen";"0158";"Twente";"626009"
"Haaren";"0788";"Brabant-Noord";"645711"
"Haarlem";"0392";"Kennemerland";"531591"
"Haarlemmerliede en Spaarnwoude";"0393";"Kennemerland";"531591"
"Haarlemmermeer";"0394";"Kennemerland";"531591"
"Halderberge";"1655";"Midden- en West-Brabant";"1091129"
"Hardenberg";"0160";"IJsselland";"514650"
"Harderwijk";"0243";"Noord- en Oost-Gelderland";"812224"
"Hardinxveld-Giessendam";"0523";"Zuid-Holland-Zuid";"484986"
"Haren";"0017";"Groningen";"584104"
"Harlingen";"0072";"Fryslân";"646324"
"Hattem";"0244";"Noord- en Oost-Gelderland";"812224"
"Heemskerk";"0396";"Kennemerland";"531591"
"Heemstede";"0397";"Kennemerland";"531591"
"Heerde";"0246";"Noord- en Oost-Gelderland";"812224"
"Heerenveen";"0074";"Fryslân";"646324"
"Heerhugowaard";"0398";"Noord-Holland-Noord";"646991"
"Heerlen";"0917";"Limburg-Zuid";"602040"
"Heeze-Leende";"1658";"Brabant-Zuidoost";"752485"
"Heiloo";"0399";"Noord-Holland-Noord";"646991"
"Hellendoorn";"0163";"Twente";"626009"
"Hellevoetsluis";"0530";"Rotterdam-Rijnmond";"1279414"
"Helmond";"0794";"Brabant-Zuidoost";"752485"
"Hendrik-Ido-Ambacht";"0531";"Zuid-Holland-Zuid";"484986"
"Hengelo (O)";"0164";"Twente";"626009"
"'s-Hertogenbosch";"0796";"Brabant-Noord";"645711"
"het Bildt";"0063";"Fryslân";"646324"
"Heumen";"0252";"Gelderland-Zuid";"543245"
"Heusden";"0797";"Brabant-Noord";"645711"
"Hillegom";"0534";"Hollands-Midden";"774476"
"Hilvarenbeek";"0798";"Midden- en West-Brabant";"1091129"
"Hilversum";"0402";"Gooi en Vechtstreek";"246540"
"Hof van Twente";"1735";"Twente";"626009"
"Hollands Kroon";"1911";"Noord-Holland-Noord";"646991"
"Hoogeveen";"0118";"Drenthe";"488611"
"Hoogezand-Sappemeer";"0018";"Groningen";"584104"
"Hoorn";"0405";"Noord-Holland-Noord";"646991"
"Horst aan de Maas";"1507";"Limburg-Noord";"516014"
"Houten";"0321";"Utrecht";"1263509"
"Huizen";"0406";"Gooi en Vechtstreek";"246540"
"Hulst";"0677";"Zeeland";"380717"
"IJsselstein";"0353";"Utrecht";"1263509"
"Kaag en Braassem";"1884";"Hollands-Midden";"774476"
"Kampen";"0166";"IJsselland";"514650"
"Kapelle";"0678";"Zeeland";"380717"
"Katwijk";"0537";"Hollands-Midden";"774476"
"Kerkrade";"0928";"Limburg-Zuid";"602040"
"Koggenland";"1598";"Noord-Holland-Noord";"646991"
"Kollumerland en Nieuwkruisland";"0079";"Fryslân";"646324"
"Korendijk";"0588";"Zuid-Holland-Zuid";"484986"
"Krimpen aan den IJssel";"0542";"Rotterdam-Rijnmond";"1279414"
"Krimpenerwaard";"1931";"Hollands-Midden";"774476"
"Laarbeek";"1659";"Brabant-Zuidoost";"752485"
"Landerd";"1685";"Brabant-Noord";"645711"
"Landgraaf";"0882";"Limburg-Zuid";"602040"
"Landsmeer";"0415";"Zaanstreek-Waterland";"328233"
"Langedijk";"0416";"Noord-Holland-Noord";"646991"
"Lansingerland";"1621";"Rotterdam-Rijnmond";"1279414"
"Laren";"0417";"Gooi en Vechtstreek";"246540"
"Leek";"0022";"Groningen";"584104"
"Leerdam";"0545";"Zuid-Holland-Zuid";"484986"
"Leeuwarden";"0080";"Fryslân";"646324"
"Leeuwarderadeel";"0081";"Fryslân";"646324"
"Leiden";"0546";"Hollands-Midden";"774476"
"Leiderdorp";"0547";"Hollands-Midden";"774476"
"Leidschendam-Voorburg";"1916";"Haaglanden";"1061908"
"Lelystad";"0995";"Flevoland";"401503"
"Leudal";"1640";"Limburg-Noord";"516014"
"Leusden";"0327";"Utrecht";"1263509"
"Lingewaal";"0733";"Gelderland-Zuid";"543245"
"Lingewaard";"1705";"Gelderland-Midden";"670924"
"Lisse";"0553";"Hollands-Midden";"774476"
"Littenseradiel";"0140";"Fryslân";"646324"
"Lochem";"0262";"Noord- en Oost-Gelderland";"812224"
"Loon op Zand";"0809";"Midden- en West-Brabant";"1091129"
"Lopik";"0331";"Utrecht";"1263509"
"Loppersum";"0024";"Groningen";"584104"
"Losser";"0168";"Twente";"626009"
"Maasdriel";"0263";"Gelderland-Zuid";"543245"
"Maasgouw";"1641";"Limburg-Noord";"516014"
"Maassluis";"0556";"Rotterdam-Rijnmond";"1279414"
"Maastricht";"0935";"Limburg-Zuid";"602040"
"Marum";"0025";"Groningen";"584104"
"Medemblik";"0420";"Noord-Holland-Noord";"646991"
"Meerssen";"0938";"Limburg-Zuid";"602040"
"Menameradiel";"1908";"Fryslân";"646324"
"Menterwolde";"1987";"Groningen";"584104"
"Meppel";"0119";"Drenthe";"488611"
"Middelburg";"0687";"Zeeland";"380717"
"Midden-Delfland";"1842";"Haaglanden";"1061908"
"Midden-Drenthe";"1731";"Drenthe";"488611"
"Mill en Sint Hubert";"0815";"Brabant-Noord";"645711"
"Moerdijk";"1709";"Midden- en West-Brabant";"1091129"
"Molenwaard";"1927";"Zuid-Holland-Zuid";"484986"
"Montferland";"1955";"Noord- en Oost-Gelderland";"812224"
"Montfoort";"0335";"Utrecht";"1263509"
"Mook en Middelaar";"0944";"Limburg-Noord";"516014"
"Neder-Betuwe";"1740";"Gelderland-Zuid";"543245"
"Nederweert";"0946";"Limburg-Noord";"516014"
"Neerijnen";"0304";"Gelderland-Zuid";"543245"
"Nieuwegein";"0356";"Utrecht";"1263509"
"Nieuwkoop";"0569";"Hollands-Midden";"774476"
"Nijkerk";"0267";"Gelderland-Midden";"670924"
"Nijmegen";"0268";"Gelderland-Zuid";"543245"
"Nissewaard";"1930";"Rotterdam-Rijnmond";"1279414"
"Noord-Beveland";"1695";"Zeeland";"380717"
"Noordenveld";"1699";"Drenthe";"488611"
"Noordoostpolder";"0171";"Flevoland";"401503"
"Noordwijk";"0575";"Hollands-Midden";"774476"
"Noordwijkerhout";"0576";"Hollands-Midden";"774476"
"Nuenen, Gerwen en Nederwetten";"0820";"Brabant-Zuidoost";"752485"
"Nunspeet";"0302";"Noord- en Oost-Gelderland";"812224"
"Nuth";"0951";"Limburg-Zuid";"602040"
"Oegstgeest";"0579";"Hollands-Midden";"774476"
"Oirschot";"0823";"Brabant-Zuidoost";"752485"
"Oisterwijk";"0824";"Midden- en West-Brabant";"1091129"
"Oldambt";"1895";"Groningen";"584104"
"Oldebroek";"0269";"Noord- en Oost-Gelderland";"812224"
"Oldenzaal";"0173";"Twente";"626009"
"Olst-Wijhe";"1773";"IJsselland";"514650"
"Ommen";"0175";"IJsselland";"514650"
"Onderbanken";"0881";"Limburg-Zuid";"602040"
"Oost Gelre";"1586";"Noord- en Oost-Gelderland";"812224"
"Oosterhout";"0826";"Midden- en West-Brabant";"1091129"
"Ooststellingwerf";"0085";"Fryslân";"646324"
"Oostzaan";"0431";"Zaanstreek-Waterland";"328233"
"Opmeer";"0432";"Noord-Holland-Noord";"646991"
"Opsterland";"0086";"Fryslân";"646324"
"Oss";"0828";"Brabant-Noord";"645711"
"Oud-Beijerland";"0584";"Zuid-Holland-Zuid";"484986"
"Oude IJsselstreek";"1509";"Noord- en Oost-Gelderland";"812224"
"Ouder-Amstel";"0437";"Amsterdam-Amstelland";"1008808"
"Oudewater";"0589";"Utrecht";"1263509"
"Overbetuwe";"1734";"Gelderland-Midden";"670924"
"Papendrecht";"0590";"Zuid-Holland-Zuid";"484986"
"Peel en Maas";"1894";"Limburg-Noord";"516014"
"Pekela";"0765";"Groningen";"584104"
"Pijnacker-Nootdorp";"1926";"Haaglanden";"1061908"
"Purmerend";"0439";"Zaanstreek-Waterland";"328233"
"Putten";"0273";"Noord- en Oost-Gelderland";"812224"
"Raalte";"0177";"IJsselland";"514650"
"Reimerswaal";"0703";"Zeeland";"380717"
"Renkum";"0274";"Gelderland-Midden";"670924"
"Renswoude";"0339";"Utrecht";"1263509"
"Reusel-De Mierden";"1667";"Brabant-Zuidoost";"752485"
"Rheden";"0275";"Gelderland-Midden";"670924"
"Rhenen";"0340";"Utrecht";"1263509"
"Ridderkerk";"0597";"Rotterdam-Rijnmond";"1279414"
"Rijnwaarden";"0196";"Gelderland-Midden";"670924"
"Rijssen-Holten";"1742";"Twente";"626009"
"Rijswijk";"0603";"Haaglanden";"1061908"
"Roerdalen";"1669";"Limburg-Noord";"516014"
"Roermond";"0957";"Limburg-Noord";"516014"
"Roosendaal";"1674";"Midden- en West-Brabant";"1091129"
"Rotterdam";"0599";"Rotterdam-Rijnmond";"1279414"
"Rozendaal";"0277";"Gelderland-Midden";"670924"
"Rucphen";"0840";"Midden- en West-Brabant";"1091129"
"Schagen";"0441";"Noord-Holland-Noord";"646991"
"Scherpenzeel";"0279";"Gelderland-Midden";"670924"
"Schiedam";"0606";"Rotterdam-Rijnmond";"1279414"
"Schiermonnikoog";"0088";"Fryslân";"646324"
"Schijndel";"0844";"Brabant-Noord";"645711"
"Schinnen";"0962";"Limburg-Zuid";"602040"
"Schouwen-Duiveland";"1676";"Zeeland";"380717"
"Simpelveld";"0965";"Limburg-Zuid";"602040"
"Sint Anthonis";"1702";"Brabant-Noord";"645711"
"Sint-Michielsgestel";"0845";"Brabant-Noord";"645711"
"Sint-Oedenrode";"0846";"Brabant-Noord";"645711"
"Sittard-Geleen";"1883";"Limburg-Zuid";"602040"
"Sliedrecht";"0610";"Zuid-Holland-Zuid";"484986"
"Slochteren";"0040";"Groningen";"584104"
"Sluis";"1714";"Zeeland";"380717"
"Smallingerland";"0090";"Fryslân";"646324"
"Soest";"0342";"Utrecht";"1263509"
"Someren";"0847";"Brabant-Zuidoost";"752485"
"Son en Breugel";"0848";"Brabant-Zuidoost";"752485"
"Stadskanaal";"0037";"Groningen";"584104"
"Staphorst";"0180";"IJsselland";"514650"
"Stede Broec";"0532";"Noord-Holland-Noord";"646991"
"Steenbergen";"0851";"Midden- en West-Brabant";"1091129"
"Steenwijkerland";"1708";"IJsselland";"514650"
"Stein";"0971";"Limburg-Zuid";"602040"
"Stichtse Vecht";"1904";"Utrecht";"1263509"
"Strijen";"0617";"Zuid-Holland-Zuid";"484986"
"Súdwest Fryslân";"1900";"Fryslân";"646324"
"Ten Boer";"0009";"Groningen";"584104"
"Terneuzen";"0715";"Zeeland";"380717"
"Terschelling";"0093";"Fryslân";"646324"
"Texel";"0448";"Noord-Holland-Noord";"646991"
"Teylingen";"1525";"Hollands-Midden";"774476"
"Tholen";"0716";"Zeeland";"380717"
"Tiel";"0281";"Gelderland-Zuid";"543245"
"Tilburg";"0855";"Midden- en West-Brabant";"1091129"
"Tubbergen";"0183";"Twente";"626009"
"Twenterand";"1700";"Twente";"626009"
"Tynaarlo";"1730";"Drenthe";"488611"
"Tytsjerksteradiel";"0737";"Fryslân";"646324"
"Uden";"0856";"Brabant-Noord";"645711"
"Uitgeest";"0450";"Kennemerland";"531591"
"Uithoorn";"0451";"Amsterdam-Amstelland";"1008808"
"Urk";"0184";"Flevoland";"401503"
"Utrecht";"0344";"Utrecht";"1263509"
"Utrechtse Heuvelrug";"1581";"Utrecht";"1263509"
"Vaals";"0981";"Limburg-Zuid";"602040"
"Valkenburg aan de Geul";"0994";"Limburg-Zuid";"602040"
"Valkenswaard";"0858";"Brabant-Zuidoost";"752485"
"Veendam";"0047";"Groningen";"584104"
"Veenendaal";"0345";"Utrecht";"1263509"
"Veere";"0717";"Zeeland";"380717"
"Veghel";"0860";"Brabant-Noord";"645711"
"Veldhoven";"0861";"Brabant-Zuidoost";"752485"
"Velsen";"0453";"Kennemerland";"531591"
"Venlo";"0983";"Limburg-Noord";"516014"
"Venray";"0984";"Limburg-Noord";"516014"
"Vianen";"0620";"Utrecht";"1263509"
"Vlaardingen";"0622";"Rotterdam-Rijnmond";"1279414"
"Vlagtwedde";"0048";"Groningen";"584104"
"Vlieland";"0096";"Fryslân";"646324"
"Vlissingen";"0718";"Zeeland";"380717"
"Voerendaal";"0986";"Limburg-Zuid";"602040"
"Voorschoten";"0626";"Hollands-Midden";"774476"
"Voorst";"0285";"Noord- en Oost-Gelderland";"812224"
"Vught";"0865";"Brabant-Noord";"645711"
"Waalre";"0866";"Brabant-Zuidoost";"752485"
"Waalwijk";"0867";"Midden- en West-Brabant";"1091129"
"Waddinxveen";"0627";"Hollands-Midden";"774476"
"Wageningen";"0289";"Gelderland-Midden";"670924"
"Wassenaar";"0629";"Haaglanden";"1061908"
"Waterland";"0852";"Zaanstreek-Waterland";"328233"
"Weert";"0988";"Limburg-Noord";"516014"
"Weesp";"0457";"Gooi en Vechtstreek";"246540"
"Werkendam";"0870";"Midden- en West-Brabant";"1091129"
"West Maas en Waal";"0668";"Gelderland-Zuid";"543245"
"Westerveld";"1701";"Drenthe";"488611"
"Westervoort";"0293";"Gelderland-Midden";"670924"
"Westland";"1783";"Haaglanden";"1061908"
"Weststellingwerf";"0098";"Fryslân";"646324"
"Westvoorne";"0614";"Rotterdam-Rijnmond";"1279414"
"Wierden";"0189";"Twente";"626009"
"Wijchen";"0296";"Gelderland-Zuid";"543245"
"Wijdemeren";"1696";"Gooi en Vechtstreek";"246540"
"Wijk bij Duurstede";"0352";"Utrecht";"1263509"
"Winsum";"0053";"Groningen";"584104"
"Winterswijk";"0294";"Noord- en Oost-Gelderland";"812224"
"Woensdrecht";"0873";"Midden- en West-Brabant";"1091129"
"Woerden";"0632";"Utrecht";"1263509"
"Wormerland";"0880";"Zaanstreek-Waterland";"328233"
"Woudenberg";"0351";"Utrecht";"1263509"
"Woudrichem";"0874";"Midden- en West-Brabant";"1091129"
"Zaanstad";"0479";"Zaanstreek-Waterland";"328233"
"Zaltbommel";"0297";"Gelderland-Zuid";"543245"
"Zandvoort";"0473";"Kennemerland";"531591"
"Zederik";"0707";"Zuid-Holland-Zuid";"484986"
"Zeewolde";"0050";"Flevoland";"401503"
"Zeist";"0355";"Utrecht";"1263509"
"Zevenaar";"0299";"Gelderland-Midden";"670924"
"Zoetermeer";"0637";"Haaglanden";"1061908"
"Zoeterwoude";"0638";"Hollands-Midden";"774476"
"Zuidhorn";"0056";"Groningen";"584104"
"Zuidplas";"1892";"Hollands-Midden";"774476"
"Zundert";"0879";"Midden- en West-Brabant";"1091129"
"Zutphen";"0301";"Noord- en Oost-Gelderland";"812224"
"Zwartewaterland";"1896";"IJsselland";"514650"
"Zwijndrecht";"0642";"Zuid-Holland-Zuid";"484986"
"Zwolle";"0193";"IJsselland";"514650"