collection_date,source_url,agentschap_url,agentschap_label,ministerie
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,https://www.rijksoverheid.nl/ministeries/ministerie-van-algemene-zaken/inhoud/organisatie/organogram/dienst-publiek-en-communicatie,Dienst Publiek en Communicatie (DPC),Algemene Zaken
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.rvig.nl/,Rijksdienst voor Identiteitsgegevens (RvIG); voorheen bekend als Agentschap Basisadministratie Persoonsgegevens en Reisdocumenten (BPR),Binnenlandse Zaken en Koninkrijksrelaties / Wonen en Rijksdienst
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://almanak.overheid.nl/98735/BZK/DGOBR/FMHaaglanden/,FMHaaglanden (FMH),Binnenlandse Zaken en Koninkrijksrelaties / Wonen en Rijksdienst
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.huurcommissie.nl/,Dienst Huurcommissie (DHC),Binnenlandse Zaken en Koninkrijksrelaties / Wonen en Rijksdienst
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.logius.nl/,Logius,Binnenlandse Zaken en Koninkrijksrelaties / Wonen en Rijksdienst
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.p-direkt.nl/,P-Direkt,Binnenlandse Zaken en Koninkrijksrelaties / Wonen en Rijksdienst
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.rijksvastgoedbedrijf.nl/,Rijksvastgoedbedrijf (RVB),Binnenlandse Zaken en Koninkrijksrelaties / Wonen en Rijksdienst
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.sscicthaaglanden.nl/,Shared service center ICT (SSC-ICT),Binnenlandse Zaken en Koninkrijksrelaties / Wonen en Rijksdienst
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.ubrijk.nl/,Uitvoeringsorganisatie Bedrijfsvoering Rijk (UBR),Binnenlandse Zaken en Koninkrijksrelaties / Wonen en Rijksdienst
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,,Defensie Telematica Organisatie (DTO),Defensie
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.defensie.nl/organisatie/cdc/inhoud/eenheden/divisie-facilitair-en-logistiek,Paresto,Defensie
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.rvo.nl/,Rijksdienst voor Ondernemend Nederland (RVO),Economische Zaken
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.agentschaptelecom.nl/,Agentschap Telecom (AT),Economische Zaken
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.vwa.nl/,Nederlandse Voedsel- en Warenautoriteit (NVWA),Economische Zaken
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.dictu.nl/,Dienst ICT Uitvoering (DICTU),Economische Zaken
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.rijkswaterstaat.nl/,Rijkswaterstaat (RWS),Infrastructuur en Milieu
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.knmi.nl/,Koninklijk Nederlands Meteorologisch Instituut (KNMI),Infrastructuur en Milieu
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.ilent.nl/,Inspectie Leefomgeving en Transport (ILT),Infrastructuur en Milieu
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,https://www.emissieautoriteit.nl/,Nederlandse Emissieautoriteit (NEa),Infrastructuur en Milieu
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.duo.nl/particulieren/default.asp,Dienst Uitvoering Onderwijs (DUO),"Onderwijs, Cultuur en Wetenschap"
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.nationaalarchief.nl/,Nationaal Archief (NA),"Onderwijs, Cultuur en Wetenschap"
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.agentschapszw.nl/,Agentschap SZW (aSZW),Sociale Zaken en Werkgelegenheid
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.cjib.nl/,Centraal Justitieel Incassobureau (CJIB),Veiligheid en Justitie
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.dji.nl/,Dienst JustitiÃ«le Inrichtingen (DJI),Veiligheid en Justitie
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.ind.nl/,Immigratie- en Naturalisatiedienst (IND),Veiligheid en Justitie
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.justis.nl/,Justis,Veiligheid en Justitie
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.nederlandsforensischinstituut.nl/,Nederlands Forensisch Instituut (NFI),Veiligheid en Justitie
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.rivm.nl/,Rijksinstituut voor Volksgezondheid en Milieu (RIVM),"Volksgezondheid, Welzijn en Sport"
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.cibg.nl/,CIBG,"Volksgezondheid, Welzijn en Sport"
07/09/16,https://www.rijksoverheid.nl/onderwerpen/rijksoverheid/inhoud/agentschappen/lijst-agentschappen,http://www.cbg-meb.nl/,Agentschap College ter Beoordeling van Geneesmiddelen (aCBG),"Volksgezondheid, Welzijn en Sport"