collection_time,source_url,rwt,ministerie,ministerie_onderdeel,laatst_bijgewerkt
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Bureau Architectenregister,Binnenlandse Zaken en Koninkrijksrelaties (BZK),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Administratie Indonesische Pensioenen (SAIP),Binnenlandse Zaken en Koninkrijksrelaties (BZK),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Waarborgfonds Sociale Woningbouw (WSW),Binnenlandse Zaken en Koninkrijksrelaties (BZK),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,FMO,Buitenlandse Zaken (BZ),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Defensiemusea (SDM),Defensie,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Wetenschappelijk onderwijs en onderzoek NLDA (SWOON),Defensie,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Ziektekostenverzekering Krijgsmacht (SZVK),Defensie,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Wageningen UR,Economische Zaken,Groene onderwijsinstellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Hogere agrarische onderwijsinstellingen (cluster),Economische Zaken,Groene onderwijsinstellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Agrarische opleidingscentra (cluster),Economische Zaken,Groene onderwijsinstellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Bloembollenkeuringsdienst (BKD),Economische Zaken,Keurings- en controle-instellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Centraal Orgaan voor Kwaliteitsaangelegenheden in de Zuivel (COKZ),Economische Zaken,Keurings- en controle-instellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Kwaliteits-Controle-Bureau (KCB),Economische Zaken,Keurings- en controle-instellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting NAK (Nederlandse Algemene Keuringsdiensten voor zaaizaad en pootgoed van landbouwgewassen),Economische Zaken,Keurings- en controle-instellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Nederlandse Algemene Kwaliteitsdienst Tuinbouw (NAKTuinbouw),Economische Zaken,Keurings- en controle-instellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Skal (Stichting Keur Alternatief voortgebrachte Landbouwproducten),Economische Zaken,Keurings- en controle-instellingen,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Edelmetaal Waarborg Nederland (EWN),Economische Zaken,Waarborginstellingen (cluster),04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,"Waarborg Holland, handelsnaam voor Waarborg Platina, Goud en Zilver N.V. (WH)",Economische Zaken,Waarborginstellingen (cluster),04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Bureau Beheer Landbouwgronden (BBL),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Bureau Erkenningen (van de AOC Raad),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Centraal Bureau voor de Statistiek (CBS),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Centraal Orgaan Voorraadvorming Aardolieproducten (COVA),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,College voor de Toelating van gewasbeschermingsmiddelen en biociden (Ctgb),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Examinerende instanties zoals bedoeld in art. 19 van de Examenregeling frequentiegebruik 2008 (cluster),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Faunafonds,Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Kamer van Koophandel,Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Nederlandse organisatie voor Toegepast Natuurwetenschappelijk Onderzoek (TNO),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Raad voor de Accreditatie (RvA),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Rendac BV,Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Staatsbosbeheer (SBB),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Dienst Landbouwkundig Onderzoek (DLO),Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,VSL,Economische Zaken,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Autoriteit Financiële Markten (AFM),Financiën,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,De Nederlandsche Bank NV (DNB),Financiën,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Nederlands Bureau der Motorrijtuigverzekeraars,Financiën,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Administratie Kantoor Financiële Instellingen (NLFI),Financiën,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Waarborgfonds Motorverkeer (WM),Financiën,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Waarderingskamer,Financiën,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Centraal Bureau Rijvaardigheidsbewijzen (CBR),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Commissie Milieueffectrapportage (Commissie MER),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Dienst voor het Kadaster en de openbare registers (Kadaster),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Havenbedrijf Amsterdam NV / Rijkshavenmeester,Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Havenbedrijf Rotterdam NV / Rijkshavenmeester,Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,HISWA-vereniging,Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Innovam Branche Kwalificatie Instituut van de stichting VAM (IBKI),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Kiwa Register BV,Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Klassebureaus als bedoeld in art. 6 Schepenwet en art. 6 en 3.1 Schepenbesluit 1965,Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Loodswezen (Nederlands Loodswezen BV en drie regionale loodsencorporaties – RLC’s),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Luchtverkeersleiding Nederland (LVNL),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Prorail BV,Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Dienst voor het Wegverkeer (RDW),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Advisering Bestuursrechtspraak voor Milieu en Ruimtelijke Ordening (StAB),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Afvalstoffen & Vaardocumenten Binnenvaart (SAB),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Buisleidingenstraat Nederland (LSNed),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Nationale en Internationale Wegvervoer Organisatie (NIWO),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Stichting Vaarbewijs- en Marifoon Examens (VAMEX),Infrastructuur en Milieu (IenM),,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,,,,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Academische ziekenhuizen (cluster),"Onderwijs, Cultuur en Wetenschap (OCW)",Onderwijs en wetenschap,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Bekostigde instellingen voor het primair onderwijs (PO) (cluster),"Onderwijs, Cultuur en Wetenschap (OCW)",Onderwijs en wetenschap,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Bekostigde instellingen voor het voortgezet onderwijs (VO) (cluster),"Onderwijs, Cultuur en Wetenschap (OCW)",Onderwijs en wetenschap,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Bekostigde instellingen voor hoger beroepsonderwijs (cluster),"Onderwijs, Cultuur en Wetenschap (OCW)",Onderwijs en wetenschap,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Bekostigde instellingen voor wetenschappelijk onderwijs (cluster),"Onderwijs, Cultuur en Wetenschap (OCW)",Onderwijs en wetenschap,04/09/15
07/09/2016 0:24:36,http://www.rekenkamer.nl/Publicaties/Dossiers/B/Bestuur_op_afstand/Overzicht_met_rechtspersonen_met_een_wettelijke_taak_RWT#internelink,Kenniscentra Beroepsonderwijs en Bedrijfsleven (KBB) (cluster),"Onderwijs, Cultuur en Wetenschap (OCW)",Onderwijs en wetenschap,04/09/15
