DSTA_GR_naam,Adres,Postcode,Plaats,CBS_GR_naam,CBS_GR_code
Orionis Walcheren,Postbus 1,4380 AA,Vlissingen,,
Park Lingezegen,Industrieweg - Oost 21,6662 NE,Elst,,
Parkschap Nationaal Park De Biesbosch,Postbus 8,3300 AA,Dordrecht,,
Parkstad Limburg,Postbus 200,6400 AE,Heerlen,,
Pauw Bedrijven,Postbus 155,3620 AD,Breukelen Ut,,
Permar,Postbus 350,6710 BJ,Ede,,
Plassenschap Loosdrecht en omstreken,Postbus 8058,3503 RB,Utrecht,,
Pmgevingsdienst Veluwe Ijssel,Postbus 971,7301 BE ,Apeldoorn,,
Presikhaaf Bedrijven,Postbus 9038,6800 EX,Arnhem,,
Projectbureau Herstucturering Tuinbouw Bommelerwaard,Postbus 10 002,5300 DA,Zaltbommel,,
RHC Drents Archief,Postbus 595,9400 AN,Assen,,
RSD Kromme Rijn - Heuvelrug,Postbus 13,3700 AA,Zeist,,
RUD Zuid-limburg,Postbus 5700,6202 MA,Maastricht,,
Recreatie Midden Nederland,Postbus 8058,3503 RB,Utrecht,,
Recreatiegemeenschap Salland,Postbus 6300,7401 JH,Deventer,,
Recreatieschap Achterhoek/Liemers,Spalderkampseweg 1,6999 AG,Hummelo,,
Recreatieschap Alkmaarder/Uitgeestermeer,Postbus 2571,2002 RB,Haarlem,,
Recreatieschap Drenthe,Brink 4b,7981 BZ,Diever,,
Recreatieschap Geestmerambacht,Postbus 2571,2002 RB,Haarlem,,
Recreatieschap Hitlandbos,Postbus 341,3100 AH,Schiedam,,
Recreatieschap Krimpenerwaard,Postbus 341,3100 AH,Schiedam,,
Recreatieschap Midden-Delfland,Postbus 341,3100 AH,Schiedam,,
"Recreatieschap Nederrijn, Lek en Waal",Postbus 6139,4000 HC,Tiel,,
Recreatieschap Over-Betuwe,Postbus 6139,4000 HC,Tiel,,
Recreatieschap Rottemeren,Postbus 341,3100 AH,Schiedam,,
Recreatieschap Spaarnewoude,Postbus 2571,2002 RB,Haarlem,,
Recreatieschap Stichtse Groenlanden,Postbus 8058,3505 RB,Utrecht,,
"Recreatieschap Utrechtse Heuvelrug, Vallei-en Kromme Rijngebied",Postbus 8058,3503 RB,Utrecht,,
Recreatieschap Vinkeveense Plassen (RMN),Postbus 8058,3503 RB,Utrecht,,
Recreatieschap Voorne-Putten-Rozenburg,Postbus 341,3100 AH,Schiedam,,
Recreatieschap West-Friesland,Postbus 20,1610 AA,Bovenkarspel,,
"Recreatieschap de Marrekrite, heet voortaan Recreatieschap voor het Friese Waterland",Emmakade 87A,8291 AH,Leeuwarden,,
Recreatieschap het Twiske,Postbus 2571,2002 RB,Haarlem,,
Regeling Erfgoedcentrum Nieuw land,Postbus 73,8200 AB,Lelystad,,
Regeling WVK-groep,Postbus 10,5530 AA,Bladel,,
Regio Achterhoek,Postbus 53,7000 AB,Doetinchem,,
Regio De Vallei,Postbus 9022,6710 HK,Ede,,
Regio FoodValley,Postbus 9022,6711 DD,Ede,,
Regio Noord-Veluwe,Postbus 271,3840 AG,Elburg,Regio Noord-Veluwe,GR0024
Regio Rivierenland,Postbus 137,4000 AC,Tiel,,
Regio Twente,Postbus 1400,7500 BK,Enschede,,
Regio Zuid-Holland Zuid,Postbus 365,3300 AJ,Dordrecht,,
Regionaal Archief Rivierenland,Postbus 169,4000 AD,Tiel,,
Regionaal Archief West-Brabant,Beukenlaan 1d,4731 CD,Oudenbosch,,
Regionaal Bureau Leerlingzaken Gooi en Vechtstreek,Postbus 251,1400 AG,Bussum,,
Regionaal Historisch Centrum Alkmaar (Regionaal Archief),Postbus 9232,1800 GE,Alkmaar,,
Regionaal Historisch Centrum Groninger archieven,Postbus 30040,9700 RM,Groningen,,
Regionaal Historisch Centrum Rijnstreek en Lopikerwaard,Postbus 45,3440 AA,Woerden,,
Regionaal Historisch Centrum ZuidOost Utrecht,Postbus 64,3960 BB,Wbduurstede,,
Regionaal Milieubedrijf,Postbus 88,5430 AB,Cuijk,,
Regionaal Reinigingsbedrijf AVALEX,Postbus 16428,2500 BK,'s-Gravenhage,Regionaal Reinigingsbedrijf AVALEX,GR0447
Regionaal bedrijventerrein Twente/Businesspark Twente,Wierdensestraat 25B,7607 GE,Almelo,,
Regionale Afvalstoffendienst Hoeksche Waard (RAD Hoeksche Waard),Smidsweg 20 A,3273 LK,Westmaas,,
Regionale Ambulance Voorziening (RAV) Brabant Midden-West-Noord,Postbus 3024,5003 DA,Tilburg,Regionale Ambulance Voorziening (RAV) Brabant Midden-West-Noord,GR0708
Regionale Brandweerorganisatie Zuid-Groningen,Postbus 140,9500 AC,Stadskanaal,,
Regionale Dienst Openbare Gezondheidszorg Hollands Midden (RDOG),Postbus 121,2300 AC,Leiden,,
Regionale ICT-dienst Utrecht,Postbus 300,3720 AH,Bilthoven,,
Regionale Sociale Dienst & Kredietbank Alblasserwaard-Oost/Vijfheerenlanden,Postbus 50,4200 AB,Gorinchem,Regionale Sociale Dienst & Kredietbank Alblasserwaard-Oost/Vijfheerenlanden,GR0462
Regionale Sociale Dienst Hoeksche Waard,Postbus 1568,3260 BB,Oud-Beijerland,,
Regionale Sociale Dienst Kromme Rijn-Heuvelrug (GR RDWI),Postbus 13,3700 AA,Zeist,Regionale Sociale Dienst Kromme Rijn-Heuvelrug (GR RDWI),GR0710
Regionale Sociale Dienst Pentasz Margraten,Postbus 7,6270 AA,Gulpen,,
Regionale Vuilverwerking Ullerberg (REVU),"p/a Gemeente Ermelo, Postbus 500",3850 AM,Ermelo,,
Regionale Werkvoorziening Amersfoort (RWA),Uraniumweg 15,3812 RJ,Amersfoort,,
Regionale ontwikkelingsorganisatie Zuidplas,Postbus 90602,2509 LP,'s-Gravenhage,,
Regionalisering Leerplicht West-Brabant,Postbus 16,4250 DA ,Werkendam,,
Reiniging BLINK,Postbus 950,5700 AZ,Helmond,,
Reinigingsbedrijf Midden-Nederland,Postbus 203,3760 AE,Soest,,
Reinigingsdienst Maasland,Postbus 4096,6080 AB,Haelen,,
Reinigingsdienst Waardlanden,Postbus 555,4200 AN,Gorinchem,,
Reinigingsdienst de Liemers,"p/a Gemeente Zevenaar, Postbus 10",6900 AA,Zevenaar,,
Reinigingsdiensten Rd4,Postbus 641,6400 AP,Heerlen,Reinigingsdiensten Rd4,GR0412
Reinigingstaken Ehv (CURE),Postbus 7195,5605 JD,Eindhoven,,
Rwa Bedrijven,Postbus 3045,3800 AH,Amersfoort,,
SED organisatie,Postbus 20,1610 AA,Bovenkarspel,,
SW Pauw bedrijven,Postbus 155,2620 AD,Breukelen,,
SW bedrijf de Sluis,Postbus 166,3440 AD,Woerden,,
Samenwerking A2-gemeenten,Postbus 10.000,5590 GA,Heeze,,
Samenwerking K5-gemeenten,Postbus 2507,2940 AA,Lekkerkerk,,
Samenwerkingsorgaan Holland Rijnland,Postbus 558,2300 AN,Leiden,,
Samenwerkingsorganisatie De Wolden Hoogeveen,Postbus 100,7900 AC,Hoogeveen,,
Samenwerkingsverband Aalsmeer-Uithoorn,Postbus 541,1420 CA,Uithoorn,,
Samenwerkingsverband Collectief Vervoer Zeeuwsch-Vlaanderen (Taxicom),Postbus 35,4530 AA,Terneuzen,,
Samenwerkingsverband NOFA,Postbus 2,9285 ZV,Buitenpost,,
Samenwerkingsverband Noord-NL,Postbus 779,9700 AT,Groningen,Samenwerkingsverband Noord-NL,GR0425
Samenwerkingsverband Regio Eindhoven,Postbus 985,5600 AZ,Eindhoven,,
Samenwerkingsverband Regio de Friese wouden,Postbus 229,9200 AE,Drachten,,
Samenwerkingsverband Sociale Werkvoorziening 'Fryslân-west' ( NV Empatec),Postbus 280,8600 AG,Sneek,Samenwerkingsverband Sociale Werkvoorziening 'Fryslân-west' ( NV Empatec),GR0446
Samenwerkingsverband Sociale werkvoorziening 'Fryslân' ( Caparis),Postbus 515,9200 AM,Drachten,,
Samenwerkingsverband Vastgoedinformatie Heffingen en Waardebepaling (SVHW),Postbus 7059,3286 ZH,Klaaswaal,,
Samenwerkingsverband Welzijnzorg Oosterschelde Regio (SWVO),Stationspark 27E,4462 DZ,Goes,Samenwerkingsverband Welzijnzorg Oosterschelde Regio (SWVO),GR0137
Samenwerkingsverband Ypenburg,ILSY-plantsoen 1,2497 GA,Den Haag,,
Samenwerkingsverband afvalstoffenverwijdering Noordoost Groningen (SANOG),Postbus 20000,9930 PA,Delfzijl,,
Schadeschap Luchthaven Schiphol,Postbus 716,2130 AS,Hoofddorp,,
Schoollogo.Maas en Waal,Postbus 9000,6600 HA,Wijchen,,
Servicebureau Gemeenten,Postbus 2188,3800 CD,Amersfoort,,
Servicepunt71,Postbus 171,2300 AD,Leiden,,
Sociaal Werkvoorzieningsbedrijf Midden- Twente,Postbus 122,7550 AC,Hengelo,Sociaal Werkvoorzieningsbedrijf Midden- Twente,GR0245
Sociaal Werkvoorzieningschap Dethon (Arbeidsintegratiebedrijf Dethon),Postbus 163,4530 AD,Terneuzen,Sociaal Werkvoorzieningschap Dethon (Arbeidsintegratiebedrijf Dethon),GR0282
Sociaal Werkvoorzieningsschap Centraal Overijssel (SOWECO),Postbus 308,7600 AH,Almelo,Sociaal Werkvoorzieningsschap Centraal Overijssel (SOWECO),GR0533
Sociaal Werkvoorzieningsschap De Welplaat,Postbus 232,3200 AE,Spijkenisse,,
Sociale Dienst Bommelerwaard,Postbus 272,5300 AG,Zaltbommel,,
Sociale Dienst Veluwerand,Postbus 1052,3840 BB,Harderwijk,Sociale Dienst Veluwerand,GR0579
Sociale Dienst Walcheren,Postbus 1,4380 AA,Vlissingen,,
Sociale Werkvoorziening Alphen aan den Rijn,Postbus 430,2400 AK,Alphen a/d Rijn,Sociale Werkvoorziening Alphen aan den Rijn,GR0466
Sociale Werkvoorziening Midden-Limburg/ Westrom,Postbus 1117,6040 KC,Roermond,Sociale Werkvoorziening Midden-Limburg/ Westrom,GR0472
Sociale Werkvoorziening Zeist,Postbus 13,3700 AA,Zeist,,
Stadsbank Oost Nederland,Postbus 1393,7500 BJ,Enschede,,
Stadsgewest 's-Hertogenbosch,Postbus 12345,5200 GZ,'s-Hertogenbosch,,
Stadsgewest Haaglanden,Postbus 66,2501 CB,'s-Gravenhage,,
Stadsregio Amsterdam,Postbus 626,1000 AP,Amsterdam,,
Stadsregio Arnhem Nijmegen,Postbus 6578,6503 GB,Nijmegen,,
Stadsregio Rotterdam,Postbus 21051,3001 AB,Rotterdam,,
Streekarchief Bommelerwaard,Van Heemstraweg west 11a,5301 PA,Zaltbommel,,
Streekarchief Land Van Heusden En Altena,Postbus 79,5256 ZH,Heusden,,
Streekarchief Midden-Holland,Groeneweg 30,2801 ZC,Gouda,,
Streekarchief Voorne-Putten en Rozenburg,Postbus 79,3230 AB,Brielle,,
Streekarchivariaat De Liemers en Doesburg,Postbus 10,6900 AA,Zevenaar,,
Streekarchivariaat Noordoost Friesland,Postbus 369,9100 AJ,Dokkum,,
Streekarchivariaat Noordwest Veluwe,Postbus 70,8080 AB,Elburg,,
Technisch Bureau in de Krimpenerwaard,Postbus 5,2920 AA,Krimpen a/d IJssel,,
Technische Dienst Beemster en Zeevang,Postbus 39,1462 ZG,Middenbeemster,,
Tresoar (letterhoeke),Postbus 2637,8901 AC,Leeuwarden,,
Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),Postbus 5364,6802 EJ,Arnhem,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),GR0476
Veiligheidsregio Amsterdam-Amstelland,Postbus 202,1000 AE,Amsterdam,Veiligheidsregio Amsterdam-Amstelland,GR0636
Veiligheidsregio Brabant Noord,Postbus 218,5201 AE,'s-Hertogenbosch,Veiligheidsregio Brabant Noord,GR0066
Veiligheidsregio Drenthe,Postbus 402,9400 AK,Assen,,
Veiligheidsregio Flevoland,Postbus 501,8200 AM,Lelystad,,
Veiligheidsregio Fryslân,Postbus 612,8901 BK,Leeuwarden,,
Veiligheidsregio Gelderland Zuid,Postbus 1120,6501 BC,Nijmegen,,
Veiligheidsregio Gooi en Vechtstreek,Kamerlingh Onnesweg 148,1223 JN ,Hilversum,,
Veiligheidsregio Haaglanden,Postbus 52155,2505 CD,'s-Gravenhage,,
Veiligheidsregio Hollands Midden,Postbus 1123,2302 BC,Leiden,,
Veiligheidsregio IJsselland,Postbus 1453,8001 BL,Zwolle,,
Veiligheidsregio Kennemerland,Postbus 5514,2000 GM,Haarlem,,
Veiligheidsregio Limburg-Noord,Postbus 11,5900 AA,Venlo,Veiligheidsregio Limburg-Noord,GR0644
Veiligheidsregio Midden- en West-Brabant,Postbus 3208,5003 DE,Tilburg,Veiligheidsregio Midden- en West-Brabant,GR0497
Veiligheidsregio Noord Holland Noord,Postbus 416,1800 AK,Alkmaar,,
Veiligheidsregio Noord- en Oost-Gelderland,Postbus 234,7300 AE,Apeldoorn,,
Veiligheidsregio Twente,Postbus 1400,7500 BK,Enschede,,
Veiligheidsregio Utrecht (VRU),Postbus 3154,3502 GD,Utrecht,Veiligheidsregio Utrecht (VRU),GR0588
Veiligheidsregio Zaanstreek - Waterland,Postbus 150,1500 ED,Zaandam,Veiligheidsregio Zaanstreek - Waterland,GR0624
Veiligheidsregio Zuid-Holland Zuid,Postbus 350,3300 AJ,Dordrecht,,
Veiligheidsregio Zuid-Limburg,Postbus 35,6269 ZG,Margraten,Veiligheidsregio Zuid-Limburg,GR0076
Veiligheidsregio Zuidoost-Brabant,Postbus 242,5600 AE,Eindhoven,,
Volkskredietbank Noord-Oost Groningen,Postbus 130,9900 AC,Appingedam,,
Vuilafvoerbedrijf Duin- en Bollenstreek,Postbus 589,2220 AN,Katwijk,,
Vuilverbrandingsinstallatie Alkmaar en omstreken,Postbus 9199,1800 GD,Alkmaar,,
Vuilverwerkingsbedrijf Noord-Groningen,Postbus 44,9980 AA,Uithuizen,,
WAVA Oosterhout,Postbus 109,4900 AC,Oosterhout,,
WHW-bedrijven,Postbus 1522,3260 BA,Oud-Beijerland,,
Waterlands Archief,Postbus 188,1440 AD,Purmerend,,
Waterschapsbedrijf Limburg,Postbus 1315,6040 KH,Roermond,,
Wegschap Tunnel Dordtse Kil,Postbus 348,3300 AH,Dordrecht,,
Welstand en Monumenten Midden-Nederland,Postbus 115,3980 CC,Bunnik,,
Welstandsadvisering Hus en Hiem,J.W. Frisostr.1,8933 BN,Leeuwarden,,
WerkSaam Westfriesland,Postbus 566,1620 AN,Hoorn,,
Werkbedrijf Midden-Langstraat,Postbus 266,5140 AG,Waalwijk,,
Werkorganisatie CGM,Postbus 7,5360 AA,Grave,,
Werkorganisatie DEAL-Gemeenten,Gevelsteen 12,9934 LN,Delfzijl,,
Werkorganisatie Duivenvoorde,Postbus 59,2240 AB,Wassenaar,,
Werkorganisatie Wormerland en Oostzaan (Over gemeenten),Postbus 20,1530 AA,Wormer,,
Werkorganisatie de Waard,Postbus 5,2970 AA,Bleskensgraaf,,
"Werkplein Baanzicht (Intergemeentelijke Sociale Dienst Aa en Hunze, Assen en Tynaarlo)",Postbus 392,9400 AJ,Assen,"Werkplein Baanzicht (Intergemeentelijke Sociale Dienst Aa en Hunze, Assen en Tynaarlo)",GR0620
Werkvoorziening Zwolle Eo,Postbus 1051,8001 BB,Zwolle,,
Werkvoorzieningschap Aanvullende Arbeid Venlo en Omstreken (WAA Venlo e.o.),Postbus 3045,5902 RA,Venlo,Werkvoorzieningschap Aanvullende Arbeid Venlo en Omstreken (WAA Venlo e.o.),GR0285
Werkvoorzieningschap Ability,Postbus 18,9980 AA,Uithuizen,,
Werkvoorzieningschap Amstelland/De Meerlanden (AM Groep),Postbus 53,2130 AB,Hoofddorp,,
Werkvoorzieningschap Bedrijf voor Werk en Re-Integratie (BWR),Postbus 50,9610 AB,Sappemeer,,
Werkvoorzieningschap De Kanaalstreek (Wedeka Bedrijven),Postbus 194,9500 AD,Stadskanaal,Werkvoorzieningschap De Kanaalstreek (Wedeka Bedrijven),GR0233
Werkvoorzieningschap Fivelingo e.o.,Postbus 24,9900 AA,Appingedam,,
Werkvoorzieningschap Ijsselmeergroep,Postbus 1109,8300 BC,Emmeloord,,
Werkvoorzieningschap Kampen en Dronten,Postbus 184,8260 AD,Kampen,,
Werkvoorzieningschap Kempenland (WVK),Postbus 10,5530 AA,Bladel,,
"Werkvoorzieningschap Kust-, Duin- en Bollenstreek",Postbus 43,2215 ZG,Voorhout,,
Werkvoorzieningschap Noord-Kennemerland (WNK Bedrijven),Postbus 9150,1800 GD,Alkmaar,Werkvoorzieningschap Noord-Kennemerland (WNK Bedrijven),GR0263
Werkvoorzieningschap Noord-Limburg West,Postbus 29,5800 AA,Venray,Werkvoorzieningschap Noord-Limburg West,GR0287
Werkvoorzieningschap Noordoost-Brabant,Postbus 163,5340 AD,Oss,,
Werkvoorzieningschap Novatec,Postbus 8,9356 ZG,Tolbert,,
Werkvoorzieningschap Oost-Twente WOT (TOP-Craft),Postbus 311,7570 AH,Oldenzaal,,
Werkvoorzieningschap Oostelijk Zuid-Limburg,Postbus 333,6400 AH,Heerlen,Werkvoorzieningschap Oostelijk Zuid-Limburg,GR0542
Werkvoorzieningschap Promen,Zuider IJsseldijk 46,2808 PB,Gouda,Werkvoorzieningschap Promen,GR0539
Werkvoorzieningschap Reestmond,Postbus 146,7940 AC,Meppel,Werkvoorzieningschap Reestmond,GR0241
Werkvoorzieningschap Synergon,Postbus 117,9670 AC,Winschoten,Werkvoorzieningschap Synergon,GR0234
Werkvoorzieningschap Tomingroep,Postbus 194,1200 AD,Hilversum,Werkvoorzieningschap Tomingroep,GR0262
Werkvoorzieningschap Weert e.o. De Risse,Postbus 82,6000 AB,Weert,,
Werkvoorzieningschap Zaanstreek-Waterland (Baanstede),Postbus 404,1440 AK,Purmerend,Werkvoorzieningschap Zaanstreek-Waterland (Baanstede),GR0421
Werkvoorzieningschap Zuid-Kennemerland Paswerk,Postbus 297,2130 AG,Hoofddorp,Werkvoorzieningschap Zuid-Kennemerland Paswerk,GR0267
Werkvoorzieningschap “De Meergroep”,Postbus 282,1940 AG,Beverwijk,,
Werkvoorzieningsschap De Dommel (WSD),Postbus 173,5280 DA,Boxtel,Werkvoorzieningsschap De Dommel (WSD),GR0292
Werkvoorzieningsschap De Oude IJsselstreek (Wedeo),Postbus 236,7000 AE,Doetinchem,,
Werkvoorzieningsschap Nijmegen Eo (WNO bedrijven handelend onder de naam 'Breed'),Postbus 6700,6503 GE,Nijmegen,Werkvoorzieningsschap Nijmegen Eo (WNO bedrijven handelend onder de naam 'Breed'),GR0256
Werkvoorzieningsschap Regio Eindhoven (ERGON),Postbus 601,5600 AP,Eindhoven,,
Werkvoorzieningsschap West Noord-Brabant (WVS),Postbus 1130,4700 BC,Roosendaal,Werkvoorzieningsschap West Noord-Brabant (WVS),GR0284
Westfries Archief Regionaal Historisch Centrum,Postbus 603,1620 AR,Hoorn,,
Woonwagenschap Midden- en Noord-Zeeland,Postbus 2118,4660 MC,Goes,,
Zeeland Seaports Terneuzen/Vlissingen,Postbus 132,4530 AC,Terneuzen,Zeeland Seaports Terneuzen/Vlissingen,GR0508
Zeeuws archief,Postbus 70,4330 AB,Middelburg,,