Naam,jaar oprichting,website,Betrokkenheid Rijk bij de oprichting,FinanciÃ«le relatie*
De Stichting donorgegevens kunstmatige bevruchting,2004,www.donorgegevens.nl,mede opgericht,"ja, artikel 1"
Stichting geneesmiddelenbulletin,2010,http://gebu.artsennet.nl,opgericht,"ja, artikel 2"
Stichting Perinatale Audit Nederland (PAN),2009,www.perinataleaudit.nl,opgericht,"ja, artikel 2"
Het college perinatale zorg (CPZ),2011,www.collegepz.nl,doen oprichten,"ja, artikel 2"
Kenniscentrum Langdurige Zorg (Vilans),2007,www.vilans.nl,doen oprichten,"ja, artikel 2"
Topinstituut Pharma,2006,www.tipharma.com,doen oprichten,"ja, artikel 2"
Centrum Indicatiestelling Zorg (CIZ),2005,www.ciz.nl,doen oprichten,"ja, artikel 3"
Stichting Informatievoorziening Zorg (IVZ),1992,www.sivz.nl,doen oprichten,"ja, artikel 3"
Kenniscentrum Maatschappelijke Inzet (Movisie),2007,www.movisie.nl,doen oprichten,"ja, artikel 3"
Stichting Landelijk Centrum voor Consultatie en Expertise voor mensen met een bijzondere zorgvraag (CCE),2004,www.stichtingcce.nl,doen oprichten,"Ja, artikel 3"
Saba Health Care Foundation,2009,www.sabahealthcare.org,doen oprichten,"ja, artikel 4"
St. Eustatius Health Care Foundation,2010,http://sehcf.org/,doen oprichten,"ja, artikel 4"
DBC (Diagnose Behandeling Combinatie) - Onderhoud,2004,www.dbconderhoud.nl,doen oprichten,"ja, artikel 4"
Waarborgfonds voor de Zorgsector,1999,www.wfz.nl,mede opgericht,"ja, artikel 4"
Centrale (stichting) van internaten voor schippers- en kermisjeugd (CENSIS),2000,www.censis.org,doen oprichten,"ja, artikel 5"
Kenniscentrum Jeugd (Nederlands Jeugdinstituut),2007,www.nji.nl,doen oprichten,"ja, artikel 5"
Fonds voor de Topsporter,1996,www.topsportfonds.nl,mede opgericht,"ja, artikel 6"
Stichting Cogis,2005,www.cogis.nl,mede opgericht,"ja, artikel 7"
Nationaal Comite 4 en 5 mei (SNC),1987,www.4en5mei.nl,mede opgericht,"ja, artikel 7"
Rechtsherstel Sinti en Roma,2000,geen,doen oprichten,"ja, artikel 7"
Stichting Nationaal Monument Kamp Amersfoort,2000,www.kampamersfoort.nl,doen oprichten,"ja, artikel 7"
Stichting Nationaal Monument Kamp Vught,1986,www.nmkampvught.nl,doen oprichten,"ja, artikel 7"
Stichting Indische Herinneringscentrum Bronbeek,2007,www.indischherinneringscentrum.nl,doen oprichten,"ja, artikel 7"
Nationaal ICT Instituut in de Zorg (NICTIZ),2001,www.nictiz.nl,mede opgericht,"ja, artikel 1en 2"
Nederlandse Transplantatie Stichting (NTS),1998,www.transplantatiestichting.nl,doen oprichten,"ja, artikel 1en 2"
Stichting Antonie van Leeuwenhoek terrein,2013,geen,opgericht,"ja, artikel 1 en RIVM"
Het Kenniscentrum Kraamzorg (KCKZ),2012,http://kenniscentrumkraamzorg.nl,doen oprichten,nee
Sanquin Bloedvoorziening,1998,www.sanquin.nl,doen oprichten,nee
Stichting Q-Support,2014,www.q-support.nu,doen oprichten,nee
Stichting Kwaliteitsregister Jeugdzorg,2013,geen,doen oprichten,nee
Stichting VZVZ Servicecentrum / Landelijk Schakelpunt,2013,www.vzvz.nl,doen oprichten,nee